Nume,Email,"Facturare - Judet",Tip,Cui,Industrie,"Creat La"
"Centrul Judetean de Aparatura Hunedoara - Deva",,,,12642233,,"2014-09-07 12:04:00"
"Centrul Medical Antares CT SRL",,,,2043741,,"2014-09-07 12:04:00"
"Centrul Medical Antares SRL",,,,18791633,,"2014-09-07 12:04:00"
"Centrul Medical Dr. Begher SRL",,,,14657788,,"2014-09-07 12:04:00"
"Centrul Medical Dr. Grigoras",,,,RO2471753,,"2014-09-07 12:04:00"
"Centrul Medical Med New Life",,,,RO5594700,,"2014-09-07 12:04:00"
"Centrul Medical Mipet",,,,RO135339200,,"2014-09-07 12:04:00"
"Centrul Medical Unirea SRL",,,,RO5919324,,"2014-09-07 12:04:00"
"Centrul Nat de MGT pt Soc. Informationala",,,,26335581,,"2014-09-07 12:04:00"
"Clinica Armeneasca",,,,RO16159321,,"2014-09-07 12:04:00"
"Materna SRL",,,,1452870,,"2014-09-07 12:04:00"
"Clinica ORL Dr.Mocanu",,,,18222182,,"2014-09-07 12:04:00"
"Clinica Polisano SRL",,,,RO15888756,,"2014-09-07 12:04:00"
"Clinica Veterinara 'Playdog'",,,,RO16603423,,"2014-09-07 12:04:00"
"Clinilab SRL",,,,RO3102218,,"2014-09-07 12:04:00"
"Clinivet Profi Center",,,,31056281,,"2014-09-07 12:04:00"
"Clinivet SRL",,,,Ro9495892,,"2014-09-07 12:04:00"
"CM Tofolean Doina-Ecaterina",,,,23377477,,"2014-09-07 12:04:00"
"CMD Andreescu Dumitru Catalin",,,,,,"2014-09-07 12:04:00"
"CMG Dr.Groza-Dr. Moga",,,,RO12308110,,"2014-09-07 12:04:00"
"CMI Besadovski Leopold",,,,19320685,,"2014-09-07 12:04:00"
"CMI Costea C.George Marius",,,,28677246,,"2014-09-07 12:04:00"
"CMI DOIMED-PLUS",,,,20388277,,"2014-09-07 12:04:00"
"CMI Dr. Cuculici Eleonora",,,,RO19533721,,"2014-09-07 12:04:00"
"CMI Dr. Luca SRL",,,,RO10747934,,"2014-09-07 12:04:00"
"CMI Dr. Mascuta Sabina",,,,"2,49043E+12",,"2014-09-07 12:04:00"
"CMI Dr. Mocanu Georgeta",,,,RO725828,,"2014-09-07 12:04:00"
"CMI Dr.Buganu Veronica",,,,27164790,,"2014-09-07 12:04:00"
"CMI Dr.Marinescu Dana Mihaela SRL",,,,31067060,,"2014-09-07 12:04:00"
"CMI Dr.Moldovan Claudia",,,,"2,6503E+12",,"2014-09-07 12:04:00"
"CMI Dr.Panait Daniela-Stomatologie Generala",,,,20674252,,"2014-09-07 12:04:00"
"CMI Dr.Secara Mirela Lucia",,,,"2,63022E+12",,"2014-09-07 12:04:00"
"CMI Dr.Stoica Florisanda",,,,"2,5112E+12",,"2014-09-07 12:04:00"
"Cab. Med. Ind. ORL Dinca Danut",,,,20292953,,"2014-09-07 12:04:00"
"CMI Suceveanu Andra Iulia - Cabinet Gastroenterologie",,,,24127762,,"2014-09-07 12:04:00"
"Blue Cat",,,,RO5774476,,"2014-09-07 12:04:00"
"CMV Dr. Alex Diaconescu",,,,RO9051474,,"2014-09-07 12:04:00"
"CMV Merlusca Silviu",,,,"1,68073E+12",,"2014-09-07 12:04:00"
"Cora Vet Consult",,,,RO21378484,,"2014-09-07 12:04:00"
"Diagnostic Doctor Oprea SRL",,,,16885340,,"2014-09-07 12:04:00"
"Di-Vet Medical",,,,RO15202806,,"2014-09-07 12:04:00"
"DSV Solution srl",,,,RO5727108,,"2014-09-07 12:04:00"
"DSVSA Alba",,,,5823920,,"2014-09-07 12:04:00"
"DSVSA Bucuresti",,,,4266065,,"2014-09-07 12:04:00"
"DSVSA Buzau",,,,4299810,,"2014-09-07 12:04:00"
"DSVSA Calarasi",,,,3233116,,"2014-09-07 12:04:00"
"DSVSA Giurgiu",,,,4791420,,"2014-09-07 12:04:00"
"DSVSA Gorj",,,,4351853,,"2014-09-07 12:04:00"
"DSVSA Ialomita",dsp.ialomita@dspialomita.ro,,,4231652,,"2014-09-07 12:04:00"
"DSVSA Iasi",,,,4540160,,"2014-09-07 12:04:00"
"DSVSA Mures",,,,4322726,,"2014-09-07 12:04:00"
"DSVSA Prahova",,,,2844634,,"2014-09-07 12:04:00"
"DSVSA Satu Mare",,,,4481136,,"2014-09-07 12:04:00"
"DSVSA Tulcea",,,,3721958,,"2014-09-07 12:04:00"
"Duo-Vet SRL",,,,RO10883952,,"2014-09-07 12:04:00"
"E Uro SRL",,,,14388990,,"2014-09-07 12:04:00"
"Egomed SRL",,,,RO14211091,,"2014-09-07 12:04:00"
Ergamed,,,,RO2071253,,"2014-09-07 12:04:00"
"Euroclinic Hospital SA",,,,RO14009050,,"2014-09-07 12:04:00"
"Excel Distribution SRL",,,,RO23349230,,"2014-09-07 12:04:00"
"Fiziomed SRL",dstoianovschi@yahoo.com,,,23084957,,"2014-09-07 12:04:00"
"Fundatia ''Actiune pentru sanatatea femeilor''",,,,RO9754890,,"2014-09-07 12:04:00"
"Fundatia Inima Transilvaniei",,,,12561422,,"2014-09-07 12:04:00"
"Fundatia judeteana pt tineret",,,,RO616885,,"2014-09-07 12:04:00"
"Fundatia Prof.Dr.Matei Bals",,,,12979019,,"2014-09-07 12:04:00"
"Fundatia pt studiul nanoneurostiintelor",,,,24218089,,"2014-09-07 12:04:00"
"Fundatia Romanian Angel Appeal",,,,RO7274690,,"2014-09-07 12:04:00"
"Fundatia Sanse Egale",,,,RO23402600,,"2014-09-07 12:04:00"
"Fundatia Speranta pentru Copii Romaniei",,,,RO8018755,,"2014-09-07 12:04:00"
"Genesys Fertility Center SRL",,,,22037329,,"2014-09-07 12:04:00"
"Hefal Med SRL",,,,RO25138727,,"2014-09-07 12:04:00"
"Hipocrat SRL",,,,RO15305550,,"2014-09-07 12:04:00"
"Hygeia SRL",,,,934030,,"2014-09-07 12:04:00"
"Infomedica SRL",,,,13680162,,"2014-09-07 12:04:00"
"Inst. de Chimie fizica ' Ilie Murgulescu'",,,,RO4267176,,"2014-09-07 12:04:00"
"Inst. de Gastroenterologie si Hepatologie",,,,RO15115653,,"2014-09-07 12:04:00"
"Inst. Nat. de Cerc. Dezv. Ptr Fizica",,,,RO3321234,,"2014-09-07 12:04:00"
"Instit. de Boli Digestive Fundeni - Nu folosi",,,,RO25857013,,"2014-09-07 12:04:00"
"Instit. Igiena Sanatate Publica Veterinara",,,,4203644,,"2014-09-07 12:04:00"
"Instit. Oncologic 'Al. Trestioreanu'",achizitii@iob.ro,,,4203709,,"2014-09-07 12:04:00"
"Instit.Inimii N.Stancioiu",,,,4617719,,"2014-09-07 12:04:00"
"Institutul de Sanatate Publica Bucuresti",,,,RO340692,,"2014-09-07 12:04:00"
"Institutul de Urgenta pt. Boli Cardiovasculare si Transplant Targu Mures",,,,32051606,,"2014-09-07 12:04:00"
"Institutul Clinic Fundeni",secretariat@icfundeni.ro,,,4204003,,"2014-09-07 12:04:00"
"Institutul Pneumoftiziologie Marius Nasta Bucuresti",secretariat@marius-nasta.ro,,,4316180,,"2014-09-07 12:04:00"
"Institutul Victor Babes",,,,RO13828251,,"2014-09-07 12:04:00"
"INSMC Alessandrescu-Rusescu Bucuresti",,,,4266308,,"2014-09-07 12:04:00"
"Labor Diagnostic",,,,RO2641408,,"2014-09-07 12:04:00"
"Laborator Analize Medicale Suceava",,,,RO2308110,,"2014-09-07 12:04:00"
"Laborator Macsuta Sabina",,,,"2,47043E+12",,"2014-09-07 12:04:00"
"LAM Dr.Tanase Didina",,,,RO8043074,,"2014-09-07 12:04:00"
Marcovet,,,,RO15226961,,"2014-09-07 12:04:00"
Maxivet,,,,RO11489396,,"2014-09-07 12:04:00"
"Medcenter SRL",,,,13368447,,"2014-09-07 12:04:00"
"Medical Analysis SRL",,,,10857236,,"2014-09-07 12:04:00"
"Medical Enterprises SRL",,,,16137137,,"2014-09-07 12:04:00"
"Medical Experience",,,,RO8789013,,"2014-09-07 12:04:00"
"Medical Expert",,,,,,"2014-09-07 12:04:00"
"Medical Fashion SRL",,,,RO24571810,,"2014-09-07 12:04:00"
"Medical Finance",,,,RO18354191,,"2014-09-07 12:04:00"
"Medical Invest SRL",,,,RO13337246,,"2014-09-07 12:04:00"
"Medical Planet srl",,,,RO5461994,,"2014-09-07 12:04:00"
"Medical Robotics",,,,RO13187904,,"2014-09-07 12:04:00"
"Medical Technologies LTD SRL",,,,RO13780030,,"2014-09-07 12:04:00"
"Medical Work Center SRL",,,,RO23795763,,"2014-09-07 12:04:00"
"Medical World",,,,,,"2014-09-07 12:04:00"
"Medical World Log SRL",,,,RO30278026,,"2014-09-07 12:04:00"
"Medicamed Market SRL",,,,RO25612609,,"2014-09-07 12:04:00"
"Medicare Group SRL",,,,RO10546701,,"2014-09-07 12:04:00"
"Medicare Technics",,,,RO12766347,,"2014-09-07 12:04:00"
"Mediclim SRL",,,,RO6300279,,"2014-09-07 12:04:00"
"Medicomp Lab srl",,,,RO17744560,,"2014-09-07 12:04:00"
"Mediconsult S&P Grup SRL",,,,RO16945655,,"2014-09-07 12:04:00"
"Medico-Veter Cut srl",,,,RO15942324,,"2014-09-07 12:04:00"
"Medist Imaging & Poc SRL",,,,RO24205100,,"2014-09-07 12:04:00"
"Medistar Services LTD",,,,,,"2014-09-07 12:04:00"
"Meditrade Test SRL",,,,RO13824519,,"2014-09-07 12:04:00"
"Medlife SA",,,,RO8422035,,"2014-09-07 12:04:00"
"MedServ SRL",,,,RO16520344,,"2014-09-07 12:04:00"
"Mogadormed SRL",,,,RO27881891,,"2014-09-07 12:04:00"
"Muntenia Medical Competences SA",,,,RO23553484,,"2014-09-07 12:04:00"
Nitech,,,,RO13890865,,"2014-09-07 12:04:00"
Novaintermed,,,,RO6220293,,"2014-09-07 12:04:00"
"Obstetrica ginecologie-Botosani",,,,RO3372327,,"2014-09-07 12:04:00"
"Ordinul asist.medicali si moaselor din Romania",,,,RO12935438,,"2014-09-07 12:04:00"
"Oxoid AG",,,,,,"2014-09-07 12:04:00"
"Pet&Vet  ER SRL",,,,RO14101196,,"2014-09-07 12:04:00"
"PF Anghel D.Alexandru",,,,25424095,,"2014-09-07 12:04:00"
"Enescu liliana Pf",,,,"2,67063E+13",,"2014-09-07 12:04:00"
"Pf Iliescu Ion",,,,RO22623689,,"2014-09-07 12:04:00"
"PF Kovacs Varga Tiberiu",,,,19633208,,"2014-09-07 12:04:00"
"PF Rusu Ioan",,,,"1,70062E+12",,"2014-09-07 12:04:00"
"Pf Vraja Muntelui",,,,"1,70103E+12",,"2014-09-07 12:04:00"
"PFA Ana-Luiza Marc",,,,22263601,,"2014-09-07 12:04:00"
"PFA Baciu Cristian",,,,RO24689868,,"2014-09-07 12:04:00"
"PFA Dolha Corina",,,,,,"2014-09-07 12:04:00"
"PFA Dr. Moisa Adrian",,,,"1,73052E+12",,"2014-09-07 12:04:00"
"PFA Gheorghe Avram",,,,30525770,,"2014-09-07 12:04:00"
"PFA Harca Nicoleta",,,,RO19798320,,"2014-09-07 12:04:00"
"PFA Kiss C.Orsolya",,,,RO25091578,,"2014-09-07 12:04:00"
"PFA Mursa Catalin Marian",,,,32374810,,"2014-09-07 12:04:00"
"PF Nap Elena",,,,RO24020668,,"2014-09-07 12:04:00"
"PFA Purcarin Claudiu Florian",,,,29562236,,"2014-09-07 12:04:00"
"II Safciu Stefan-Laurentiu",,,,RO23638424,,"2014-09-07 12:04:00"
"PFA Tulei Mihaela",,,,20274990,,"2014-09-07 12:04:00"
"PFA Vlad Dana",,,,,,"2014-09-07 12:04:00"
"Policlinica Biomedica",,,,RO4206462,,"2014-09-07 12:04:00"
"Policlinica Grigorescu",,,,,,"2014-09-07 12:04:00"
"Polisano SRL",,,,"RO 4101148",,"2014-09-07 12:04:00"
"Polisanta SRL",,,,RO13765846,,"2014-09-07 12:04:00"
"Pozitron Medical Investigation SRL",,,,RO22183847,,"2014-09-07 12:04:00"
"Promed SRL",,,,12799646,,"2014-09-07 12:04:00"
"Promedical Center SRL",,,,RO16082325,,"2014-09-07 12:04:00"
"RA ROMATSA - D.R. Bucuresti",,,,RO1589932,,"2014-09-07 12:04:00"
"Redox Lab SRL",,,,Ro15458430,,"2014-09-07 12:04:00"
"Rocomedicor SRL",,,,RO26380779,,"2014-09-07 12:04:00"
"SAJ Galati",ambulantagalati@yahoo.com,,,7465720,,"2014-09-07 12:04:00"
"SAJ Suceava",,,,7409380,,"2014-09-07 12:04:00"
"Sanimed International Impex SRL",,,,RO15995515,,"2014-09-07 12:04:00"
"Sarah Vet SRL",,,,RO19019845,,"2014-09-07 12:04:00"
"Serviciul de Ambulanta al Jud Cluj",secretariat@sajcluj.ro,,,7489169,,"2014-09-07 12:04:00"
"Soc de medicina de urgenta",,,,RO6669480,,"2014-09-07 12:04:00"
"Soc. aparatura medicala SAM",,,,367032,,"2014-09-07 12:04:00"
"Societatea de educatie Contraceptiva si Sanatate",,,,RO351480,,"2014-09-07 12:04:00"
"Societatea Romana de Cardiologie",,,,5679116,,"2014-09-07 12:04:00"
"Societatea romana de chirurgie",,,,,,"2014-09-07 12:04:00"
"Societatea Romana de Medicina Interna",,,,14367920,,"2014-09-07 12:04:00"
"Societatea Romana de Micologie Medicala",,,,20989870,,"2014-09-07 12:04:00"
"Inst.Reg.gastro-hepato dr.O.-Fodor",,,,4354523,,"2014-09-07 12:04:00"
"Sp Clinic Mun de Urgenta Timisoara",,,,4483447,,"2014-09-07 12:04:00"
"Sp Jud de Urgenta Ploiesti",,,,2844545,,"2014-09-07 12:04:00"
"Sp Mun Orsova",,,,4484566,,"2014-09-07 12:04:00"
"Spital  Pneumoftiziologie  Bisericani",,,,2613095,,"2014-09-07 12:04:00"
"Sp. Cl Recuperare Medicala Baile Felix",,,,4245038,,"2014-09-07 12:04:00"
"Sp. Cl. de Urg. Bagdasar-Arseni",directie@bagdasar-arseni.ro,,,4943871,,"2014-09-07 12:04:00"
"Sp. de Urg. pt Copii 'Sf. Maria' Iasi",,,,4701339,,"2014-09-07 12:04:00"
"Sp. Jud. de Urg. Craiova",scjuc.craiova@gmail.com,,,5002142,,"2014-09-07 12:04:00"
"Sp. Jud. de Urg. Targoviste",,,,4206845,,"2014-09-07 12:04:00"
"Sp.Mun.de Urgenta'Elena Beldiman' Barlad",,,,4446481,,"2014-09-07 12:04:00"
"Sp. Mun. de Urgenta Caransebes",secretariat@spital-cs.ro,,,3228209,,"2014-09-07 12:04:00"
"Sp. Municipal 'Dr. Alexandru Simionescu' Hunedoara",,,,5453860,,"2014-09-07 12:04:00"
"Sp. Municipal Aiud",,,,4613628,,"2014-09-07 12:04:00"
"Sp. Municipal Campia Turzii",,,,4288268,,"2014-09-07 12:04:00"
"Sp. Municipal Gherla",,,,4546995,,"2014-09-07 12:04:00"
"Sp. Municipal Marghita",,,,4230517,,"2014-09-07 12:04:00"
"Sp. Municipal Odorheiu Secuiesc",,,,4245259,,"2014-09-07 12:04:00"
"Sp. Municipal Tarnaveni",,,,4322386,,"2014-09-07 12:04:00"
"Sp. Municipal Toplita",,,,4367400,,"2014-09-07 12:04:00"
"Sp. Obstetrica Ginecologie Braila",spitalog@yahoo.com,,,4205610,,"2014-09-07 12:04:00"
"SP. OR. BUMBESTI JIU",,,,4448199,,"2014-09-07 12:04:00"
"Sp. Orasenesc Beclean",,,,4512208,,"2014-09-07 12:04:00"
"Sp. Orasenesc Campeni",,,,4331074,,"2014-09-07 12:04:00"
"Sp. Orasenesc Dr George Trifon Nasaud",,,,4347879,,"2014-09-07 12:04:00"
"Sp. Orasenesc Huedin",,,,4485618,,"2014-09-07 12:04:00"
"Sp. Orasenesc Jibou",,,,4494934,,"2014-09-07 12:04:00"
"Sp. Orasenesc Ludus",,,,4323543,,"2014-09-07 12:04:00"
"Sp. Orasenesc Negresti Oas",,,,3963960,,"2014-09-07 12:04:00"
"Sp. Orasenesc Sangerogiu de Padure",,,,4323314,,"2014-09-07 12:04:00"
"Sp. Orasenesc Targu Lapus",,,,3695247,,"2014-09-07 12:04:00"
"Sp. Orasenesc Viseu de Sus",,,,3694950,,"2014-09-07 12:04:00"
"Sp. Sfantu Sava Buzau",sp.patarlagele1@gmail.com,,,23867894,,"2014-09-07 12:04:00"
"Sp. Universitar de Urgenta Elias",contact@spitalul-elias.ro,,,4192537,,"2014-09-07 12:04:00"
"Sp.Agrippa Ionescu Bucuresti",,,,8372077,,"2014-09-07 12:04:00"
"Sp.Cl. Obs-Gine.""Prof.Dr.Panait Sirbu""",,,,4316295,,"2014-09-07 12:04:00"
"Sp.Cl.Chirurgie Plastica si Arsuri Bucuresti",,,,4967072,,"2014-09-07 12:04:00"
"Sp.Cl.de Urg.'SF Pantelimon'",scusfpant@yahoo.com,,,4203881,,"2014-09-07 12:04:00"
"Sp.Cl.Jud.de Urg. Bihor",,,,4208498,,"2014-09-07 12:04:00"
"Sp.Clinic de Pediatrie Sibiu",,,,11411672,,"2014-09-07 12:04:00"
"Sp.Copii Botosani",,,,3372548,,"2014-09-07 12:04:00"
"Sp.Jud.de Urgenta Slatina",,,,4394927,,"2014-09-07 12:04:00"
"Spartan Security SRL",,,,RO22295450,,"2014-09-07 12:04:00"
"Spatiul Horeca SRL",,,,16814048,,"2014-09-07 12:04:00"
"Spit Cl. jud de urgenta Piatra Neamt",,,,2613362,,"2014-09-07 12:04:00"
"Spit Clinic de Boli Infectioase Cluj",,,,4485715,,"2014-09-07 12:04:00"
"Spit Jud de Urg Bacau",,,,4278728,,"2014-09-07 12:04:00"
"Spit. Cl. Filantropia Bucuresti",office@spitalulfilantropia.ro,,,4532388,,"2014-09-07 12:04:00"
"Spit. Jud. de Urgenta Resita",sjuresita@gmail.com,,,1061626,,"2014-09-07 12:04:00"
"Spital Cl. Jud.de Urgenta Bistrita Nasaud",,,,4347593,,"2014-09-07 12:04:00"
"Spit. OG 'Dr. I.A. Sbarcea' Brasov",,,,4443183,,"2014-09-07 12:04:00"
"Spit. orasenesc Alesd",,,,4348890,,"2014-09-07 12:04:00"
"Spit.Cl.de urgenta Gr. Alexandrescu-Bucuresti",,,,4284134,,"2014-09-07 12:04:00"
"Spit.Jud de urgenta Calarasi",,,,3233078,,"2014-09-07 12:04:00"
"Spit.Jud.de Urgenta Braila",oficiu@spitjudbraila.ro,,,4342863,,"2014-09-07 12:04:00"
"Spital Clinic de Ortopedie Foisor",,,,5062357,,"2014-09-07 12:04:00"
"Spital Clinic de Recuperare Iasi",,,,4541092,,"2014-09-07 12:04:00"
"Spital Clinic ''Dr.C.I.Parhon'' Iasi",,,,4540895,,"2014-09-07 12:04:00"
"Spital de Urgenta al M.A.I. Dr. Dimitrie Gerota",,,,4283767,,"2014-09-07 12:04:00"
"Spital Judetean de Urgenta Valcea",,,,2540589,,"2014-09-07 12:04:00"
"Spital Judetean de Urgenta Zalau",,,,4291719,,"2014-09-07 12:04:00"
"Spital Mun.''Dimitrie Castroian''Husi",,,,4359628,,"2014-09-07 12:04:00"
"Spital Mun.Dr.Gavril Curteanu",,,,4208463,,"2014-09-07 12:04:00"
"Spital Municipal Campina",,,,2845818,,"2014-09-07 12:04:00"
"Spital Municipal Medias",,,,4751469,,"2014-09-07 12:04:00"
"Spital Municipal Salonta",secretariat@spitalulsalonta.ro,,,4287947,,"2014-09-07 12:04:00"
"Spital Municipal Sighetu Marmatiei",,,,3627587,,"2014-09-07 12:04:00"
"Spital Municipal Turda",,,,4287971,,"2014-09-07 12:04:00"
"Spital Obstetrica Ginecologie Ploiesti",,,,2844260,,"2014-09-07 12:04:00"
"Spital Orasenesc Buhusi",,,,4187271,,"2014-09-07 12:04:00"
"Spital Orasenesc Sf.Spiridon Mioveni",,,,4318202,,"2014-09-07 12:04:00"
"Spital univ.de urgenta Bucuresti",secretariat@suub.ro,,,4283570,,"2014-09-07 12:04:00"
"Spitalul  Municipal Mangalia",office@spitalul-mangalia.ro,,,4515441,,"2014-09-07 12:04:00"
"Spitalul Cl. de Copii Cluj Napoca",,,,4426352,,"2014-09-07 12:04:00"
"Spitalul Cl. de copii Louis Turcanu TM",,,,4548538,,"2014-09-07 12:04:00"
"Spitalul Cl. de Copii Marie Curie Bucuresti",,,,4183164,,"2014-09-07 12:04:00"
"Spitalul Cl. Jud. de Urg. Tg Mures",,,,4323209,,"2014-09-07 12:04:00"
"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi",,,,4701312,,"2014-09-07 12:04:00"
"Spitalul Cl. Jud.de Urgenta SIBIU",,,,4240898,,"2014-09-07 12:04:00"
"Spitalul Cl.de Urgenta Floreasca",spital@urgentafloreasca.ro,,,4505332,,"2014-09-07 12:04:00"
"Spitalul Cl.Jud.Urg.Brasov",,,,4384117,,"2014-09-07 12:04:00"
"Spitalul Clinic Boli Infectioase Constanta",spitinf.aprovizionare@my-email.ro,,,15113490,,"2014-09-07 12:04:00"
"Spitalul Clinic Cai Ferate Constanta",,,,4210790,,"2014-09-07 12:04:00"
"Spitalul Clinic CF Iasi",,,,4981239,,"2014-09-07 12:04:00"
"Spitalul Clinic de Recuperare Cluj",,,,4288063,,"2014-09-07 12:04:00"
"Spitalul Clinic Dr.I.Cantacuzino",cantacuzino@spitalul-cantacuzino.ro,,,4203490,,"2014-09-07 12:04:00"
"Spitalul de Boli Infectioase Ploiesti",,,,2533309,,"2014-09-07 12:04:00"
"Spitalul de Pediatrie Pitesti",,,,4318075,,"2014-09-07 12:04:00"
"Spitalul de Pneumo. Constanta",,,,,,"2014-09-07 12:04:00"
"Spitalul de Pneumo. Ctin Anastasatu Mihaesti",,,,2541878,,"2014-09-07 12:04:00"
"Spitalul de Pneumo. Oradea",,,,4230355,,"2014-09-07 12:04:00"
"Spitalul de Pneumoftiziologie Sf.Andrei Valea Iasului",,,,4122019,,"2014-09-07 12:04:00"
"Spitalul de Pneumoftiziologie''Sfantul Stefan''",,,,4203911,,"2014-09-07 12:04:00"
"Spitalul de Urgenta Petrosani",,,,4374873,,"2014-09-07 12:04:00"
"Spitalul Jud. 'Mavromati' Botosani",spital@spitjudbotosani.ro,,,4557951,,"2014-09-07 12:04:00"
"Spitalul Jud. de Urgenta Cluj",,,,4288080,,"2014-09-07 12:04:00"
"Spitalul Jud. de Urgenta Constanta",secretariat@spitalulconstanta.ro,,,4301103,,"2014-09-07 12:04:00"
"Spitalul Jud. de Urgenta Deva",,,,4374385,,"2014-09-07 12:04:00"
"Spitalul Jud. de Urgenta Timisoara",judetean@hosptm.ro,,,4663448,,"2014-09-07 12:04:00"
"Spital Cl. Jud. Ilfov",spjudilfov@yahoo.com,,,14989140,,"2014-09-07 12:04:00"
"Spitalul Judetean Miercurea Ciuc",,,,4245305,,"2014-09-07 12:04:00"
"Spitalul Judetean Pitesti",,,,4122205,,"2014-09-07 12:04:00"
"Spitalul Militar de Urgenta Sibiu",,,,,,"2014-09-07 12:04:00"
"Spitalul Militar Ion Jianu Pitesti",,,,318016,,"2014-09-07 12:04:00"
"Spitalul Municipa de Urgenta Moinesti",,,,4278710,,"2014-09-07 12:04:00"
"Spitalul Municipal Caritas Rosiori de Vede",,,,4568004,,"2014-09-07 12:04:00"
"Spitalul Municipal de Urgenta Roman",,,,2613940,,"2014-09-07 12:04:00"
"Spitalul Municipal Dorohoi",,,,13727320,,"2014-09-07 12:04:00"
"Spitalul Municipal Fetesti",secretariat@spitalfetesti.ro,,,4365220,,"2014-09-07 12:04:00"
"Spitalul Municipal Orastie",,,,5808334,,"2014-09-07 12:04:00"
"Spitalul Municipal Targu Secuiesc",,,,4404524,,"2014-09-07 12:04:00"
"Spitalul Orasenesc ""Prof. Dr. Ioan Puscas""",,,,4291530,,"2014-09-07 12:04:00"
