Subiect,"Status Intalnire","Data Incepere",Organizatie,"Scopul Vizitei","Atribuit Lui"
Pathfast,,2024-02-26,,"Prezentare beneficii troponina HS",
UPU,,2024-02-26,,"Reintroducere Pathfast.",
Pathfast,,2024-02-05,,"Culegere informatii reintroducere Pathfast.",
Birou,,2024-02-28,,,
Birou,,2024-02-23,,,
Birou,,2024-02-21,,,
CO,,2024-02-19,,,
CO,,2024-02-16,,,
Birou,,2024-02-15,,,
"Birou Bucuresti",,2024-02-09,,"Ridicare masina noua.",
Birou,,2024-02-08,,,
Birou,,2024-02-01,,"Decont, foaie parcurs,CRM",
CO,,2024-01-30,,,
Achizitii,,2024-01-31,,"Contracte subsecvente",
Referat,,2024-01-31,,"Referat marker",
"Laborator UPU",,2024-01-31,,"Status Gastat 735",
Cardiologie,,2024-01-31,,"Status Pathfast+referat marker",
Birou,,2024-01-29,,"Oferte,CRM",
CO,,2024-01-26,,,
Birou,,2024-01-25,,,
Liber,,2024-01-24,,,
CPU,,2024-01-22,,"Referat marker",
ATI,,2024-01-22,,"Consum VCM",
Achizitii,,2024-01-22,,"Comanda Hemocron Elite.",
UPU,,2024-01-22,,"Discutii pe tema majorarii consumului de markeri Pathfast.",
"Laborator UPU",,2024-01-19,,"Verificare functionare Gastat",
Achizitii,,2024-01-19,,"Acord cadru nou markeri",
Dezinfectanti,,2024-01-19,,"Referat dezinfectanti",
UPU,,2024-01-19,,"Prezentare echipamente noi",
Neonatologie,,2024-01-17,,"Prezentare presepsina si PCT pe sectia neonatologie impreuna cu Adrian Simion.",
VCM,,2024-01-17,,"Prezentare trombelastograf impreuna cu Adrian Simion pe sectia ATI.",
Comanda,,2024-01-16,,"Comanda APTT",
Financiar,,2024-01-16,,"Verificare inregistrare facturi.",
Achizitii,,2024-01-16,,"Contracte subsecvente",
"Custodii UPU",,2024-01-16,,"Produsele aflate in custodie vor fi livrate in data de 22.01.2024",
Financiar,,2024-01-11,,"Facturi scadente",
Achizitii,,2024-01-11,,Contracte,
UPU,,2024-01-11,,"Proiecte 2024",
"Gastat UPU",,2024-01-09,,"Inlocuire electrozi Gastat",
Birou,,2024-01-18,,Birou,
Birou,,2024-01-15,,Birou,
Birou,,2024-01-12,,"Sedinta Skype",
Birou,,2024-01-10,,Birou,
Birou,,2024-01-08,,Birou,
ATI,,2023-11-02,,"Discutii privind achizitia de ventilatoare",
Aparate,,2023-11-02,,"Discutii privind planul de achizitii pentru 2024",
Achizitii,,2023-11-02,,"Comenzi final de an",
UPU,,2023-11-02,,"Referat marker final de an",
Cardiologie,,2023-11-01,,"Introducere Pathfast",
Achizitii,,2023-11-01,,"Discutii privind lista de achizitii pentru 2024",
Laborator,,2023-11-01,,"Introducere Pathfast in laborator",
UPU,,2023-11-01,,"Licitatie marker",
CPU,,2023-10-31,,Referat,
ATI,,2023-10-31,,"Status program PNRR Unyvero",
ATI,,2023-10-31,,"Teste VCM",
Laborator,,2023-10-31,,"Discutii din nou despre Unyvero.",
UPU,,2023-10-31,,"Referate marker si custodii.",
Birou,,2023-11-03,,,
Birou,,2023-10-30,,,
Birou,,2023-10-26,,,
"Licitatie Pathfast",,2023-10-27,,"Discutii privind cerintele din caietul de sarcini.",
"Aparate noi laborator",,2023-10-24,,"Introdus in planul de achizitii Unyvero si Pathfast.",
"Aparate noi UPU",,2023-10-24,,"Introdus in planul de achizitii pentru 2024 ventilatoare.",
UPU,,2023-10-24,,"Referat marker",
Financiar,,2023-10-24,,"Facturi scadente.",
Achizitii,,2023-10-24,,"Contracte subsecvente",
"Aparate Noi",,2023-10-20,,"Echipamente noi pe planul de investitii 2024",
CPU,,2023-10-19,,"Markeri CPU.",
Financiar,,2023-10-19,,"Facturi scadente.",
UPU,,2023-10-19,,"Referate markeri final de an.",
Achizitii,,2023-10-19,,Comenzi.,
"Aparate Noi",,2023-10-19,,"Introducere Gastat 735.",
"Aparate Noi",,2023-10-04,,"Prezentare echipamente.",
Financiar,,2023-10-04,,"Rambursare TVA.",
Achizitii,,2023-10-04,,Comenzi.,
ATI,,2023-10-04,,"Introducere aparate noi.",
Sptotchem,,2023-10-04,,"Ridicare aparat",
Laborator,,2023-10-03,,"Unyvero si Pathfast prinse in planul de achizitii pentru anul 2024.",
"Aparate Noi",,2023-10-03,,"Aparate noi pentru anul 2024.Ventilatoare.",
"Laborator UPU",,2023-10-03,,"Inlocuit consumabile Gastat 735.",
UPU,,2023-10-03,,"Referat marker.",
"Laborator UPU",,2023-10-16,,"Verificat Gastat.",
Cardiologie,,2023-10-16,,"Referat marker pentru final an.",
Achizitii,,2023-10-16,,"Declaratii comenzi.",
Financiar,,2023-10-16,,"Facturi scadente.",
Plati,,2023-10-16,,"Facturi scadente.",
Laborator,,2023-10-17,,"Introducere Unyvero in planul de achizitii.",
Financiar,,2023-10-17,,"Facturi scadente.",
Achizitii,,2023-10-17,,"Contracte subsecvente.",
UPU,,2023-10-17,,"Comenzi marker.",
VCM,,2023-10-17,,"Identificat teste VCM.",
"Facturi intarziate",,2023-10-18,,"Facturi scadente.",
"Aparate Noi",,2023-10-18,,"Discutii privind achizitia de echipamente noi.",
UPU,,2023-10-18,,"Referat marker.",
Financiar,,2023-10-18,,"Facturi scadente dezinfectanti.",
Achizitii,,2023-10-18,,"Declaratii comenzi.",
Birou,,2023-10-23,,,
Birou,,2023-10-13,,,
Birou,,2023-10-12,,,
"Sedinta Bucuresti",,2023-10-11,,,
"Sedinta Bucuresti",,2023-10-10,,,
Birou,,2023-10-09,,,
CO,,2023-10-06,,,
Birou,,2023-10-05,,,
"Birou Bucuresti",,2023-10-02,,"Adus aparate Spotchem.",
"Simpozion Brasov",,2023-09-15,,"Prezentari Unyvero si trombelastograf pentru medici din Brasov si zonele limitrofe.",
Echipamente,,2023-09-19,,"Ridicare Spotchem",
Echipamente,,2023-09-21,,Spotchem,
Financiar,,2023-09-25,,Plati,
Achizitii,,2023-09-25,,Contracte,
"Laborator UPU",,2023-09-25,,"Verificare Gastat",
UPU,,2023-09-25,,"Ventilator transport",
Comenzi,,2023-09-25,,"Comenzi calibratori si plati.",
"Birou Bucuresti",,2023-09-20,,"Predare Spotchem",
Echipamente,,2023-09-26,,"Ridicare Spotchem",
Achizitii,,2023-09-26,,Contracte,
Financiar,,2023-09-26,,"Facturi scadente.",
UPU,,2023-09-26,,"Referat markeri",
Pathfast,,2023-09-27,,"Prezentare Pathfast impreuna cu Antonia.",
Financiar,,2023-09-27,,"Facturi scadente",
UPU,,2023-09-27,,"Comenzi diminuate",
Achizitii,,2023-09-27,,"Ridicat contracte",
Achizitii,,2023-09-28,,"Contracte subsecvente",
Financiar,,2023-09-28,,Plati,
UPU,,2023-09-28,,"Prezentare tromelastograf",
Financiar,,2023-09-28,,"Facturi scadente.",
CPU,,2023-09-28,,"Verificare Pathfast",
Birou,,2023-09-06,,,
Birou,,2023-09-08,,,
Birou,,2023-09-14,,,
Birou,,2023-09-18,,,
Birou,,2023-09-22,,,
Birou,,2023-09-29,,,
Birou,,2023-07-28,,,
Birou,,2023-07-26,,,
Birou,,2023-07-20,,,
Birou,,2023-07-19,,,
"Birou Bucuresti",,2023-07-14,,Sedinta.,
"Birou Bucuresti",,2023-07-13,,Sedinta.,
"Birou Bucuresti",,2023-07-12,,Sedinta.,
Birou,,2023-07-07,,,
Birou,,2023-07-04,,,
Birou,,2023-07-03,,,
CPU,,2023-07-31,,"Verficare functionare Pathfast.",
"Comanda UPU",,2023-07-31,,"Comanda pentru luna august.",
Achizitii,,2023-07-31,,"Contracte subsecvente.",
UPU,,2023-07-31,,"Inlocuire Pathfast.",
ATI,,2023-07-31,,"Culegere informatii.",
Achizitii,,2023-06-21,,Contracte.,
"Laborator UPU",,2023-06-21,,"Verificare functionare echipament",
Gastat,,2023-06-21,,"Referat Gastat 735.",
Financiar,,2023-06-21,,"Facturi scadente",
"Aparate noi",,2023-06-21,,"Discutii despe Monal si VCM.",
Pathfast,,2023-06-26,,"Discutii pe tema achizitiei de Troponina,NTproBNP si D-Dimer.",
Achizitii,,2023-06-26,,"Contracte subsecvente.",
ATI,,2023-06-26,,"Status VCM",
UPU,,2023-06-26,,"Referate.Verificare Pathfast.",
Financiar,,2023-06-26,,"Facturi scadente.",
"Service auto",,2023-06-27,,,
Birou,,2023-06-23,,,
Birou,,2023-06-22,,,
CO,,2023-06-16,,,
Birou,,2023-06-12,,,
Birou,,2023-06-08,,,
Birou,,2023-06-02,,,
Birou,,2023-05-30,,,
Birou,,2023-05-26,,Birou,
"Instalare VCM",,2023-05-25,,"Instalare trombelastograf impreuna cu Antonia in sectia ATI.",
"Director Medical",,2023-05-23,,"Prezentare generala echipamente.",
Dezinfectanti,,2023-05-23,,"Achizitii dezinfectanti.",
Achizitii,,2023-05-23,,"Culegere info achizitie echipamente",
Laborator,,2023-05-23,,"Discutii achizitie Pathfast",
Ventilator,,2023-05-22,,"Discutii referat necesitate Monal T60",
Achizitii,,2023-05-22,,"Contracte subsecvente",
Cardiologie,,2023-05-22,,"Discutii achizitii markeri prin program Ustic",
Manager,,2023-05-22,,"Culegere info program PNRR",
Achizitii,,2023-05-22,,"Culegere info program PNNR",
Spital,,2023-05-17,,Administrative.,
CPU,,2023-05-15,,"Prezentare aparate CPU",
Laborator,,2023-05-15,,"Culegere info despre lista echipamente program PNRR",
Pathfast,,2023-05-15,,"Discutii Pathfast si VCM.",
Dezinfectanti,,2023-05-15,,"Prezentare dezinfectanti.",
Contracte,,2023-05-15,,Contracte,
Achizitii,,2023-05-09,,"Contracte subsecvente",
Trombelastograf,,2023-05-09,,VCM,
Financiar,,2023-05-09,,"Inregistrare facturi,plati.",
"Gastat 735",,2023-05-09,,"Discutii punere la dispozitie echipament.",
ATI,,2023-05-09,,"Prezentare VCM.Discutii Unyvero",
"Srati Sinaia",,2023-05-11,,"Conferinta ATI.",
Achizitii,,2023-05-08,,"Contracte subsecvente.",
Financiar,,2023-05-08,,"Verificare inregistrare facturi,plati.",
ATI,,2023-05-08,,"Prezentare echipamente.",
UPU,,2023-05-08,,"Referat markeri",
Financiar,,2023-05-04,,"Facturi scadente",
"Monal T60",,2023-05-04,,"Achizitie aparate",
UPU,,2023-05-04,,"Referat markeri",
Gastat,,2023-05-04,,"Verificare functionare aparat.",
Plati,,2023-05-04,,"Facturi scadente",
UPU,,2023-05-03,,"Markeri Pathfast",
VCM,,2023-05-03,,"Punere la dispozitie echipament.",
CPU,,2023-05-03,,"Referat markeri.",
Laborator,,2023-05-03,,"Echipamente noi.",
Financiar,,2023-05-03,,"Facturi scadente",
Birou,,2023-05-24,,Birou,
"Sedinta vanzari",,2023-05-19,,,
"Service auto",,2023-05-18,,,
"Service auto",,2023-05-16,,,
"Service auto",,2023-05-15,,,
Birou,,2023-05-12,,Birou,
Birou,,2023-05-10,,Birou,
Birou,,2023-05-05,,Birou,
Birou,,2023-05-02,,Birou,
Manager,,2023-04-03,,"Culegere informatii.",
Laborator,,2023-04-03,,Pathfast,
UPU,,2023-04-03,,Pathfast,
UPU,,2023-03-30,,"Referat marker luna aprilie",
Achizitii,,2023-03-30,,"Contracte subsecvente",
Financiar,,2023-03-30,,"Facturi scadente",
Manager,,2023-03-30,,PNRR,
Achizitii,,2023-03-30,,PNRR,
"Monal T60",,2023-03-29,,"Monal T60",
Financiar,,2023-03-29,,"Facturi scadente",
Achizitii,,2023-03-29,,"Stadiu comanda",
"Laborator UPU",,2023-03-29,,"Verificare functionare echipamente Pathfast si Gastat",
Secretariat,,2023-03-29,,"Ridicat contract sponsorizare",
UPU,,2023-03-27,,Referat,
Achizitii,,2023-03-27,,"Ridicat acord cadru marker",
ATI,,2023-03-27,,"Culegere informatii",
ATI,,2023-03-27,,"Status echipament Unyvero.",
"Contract sponsorizare",,2023-03-23,,"Contract sponsorizare",
"Sponsorizare UPU",,2023-03-22,,"Livrat 16 buc cos reziduri inox",
"Prezentare echipamente",,2023-03-15,,"Prezentare aparate.",
Unyvero,,2023-03-15,,PNRR-Unyvero,
Financiar,,2023-03-15,,"Facturi scadente",
ATI,,2023-03-15,,"Prezentare trombelastrograf",
UPU,,2023-03-15,,"Referat marker",
Prezentare,,2023-03-13,,"Prezentare Unyvero si Pathfast.",
"Aparate Noi",,2023-03-09,,"Aparate noi",
Financiar,,2023-03-09,,"Facturi scadente",
Achizitii,,2023-03-09,,Contracte,
ATI,,2023-03-09,,Relationare,
UPU,,2023-03-09,,Relationare,
"Laborator UPU",,2023-03-08,,"Reparat Gastat 735",
ATI,,2023-03-06,,Ventilatoare.,
Manager,,2023-03-06,,"Informatii achizitii aparate noi.",
Achizitii,,2023-03-06,,Contracte.,
Presepsin,,2023-03-06,,Presepsin,
Unyvero,,2023-03-02,,"Discutii generale Unyvero",
Aparate,,2023-03-01,,"Aparate noi.",
Financiar,,2023-03-01,,Plati.,
Achizitii,,2023-03-01,,Comenzi.,
"Laborator UPU",,2023-03-01,,"Gastat 735.",
UPU,,2023-03-01,,Relationare.,
Manager,,2023-02-28,,"Culegere informatii",
Echipamente,,2023-02-28,,"Preentare echipamente.",
"Aparate Noi",,2023-02-27,,"Aparate noi.",
Financiar,,2023-02-27,,"Facturi scadente.",
Achizitii,,2023-02-27,,"Status Licitatie",
UPU,,2023-02-27,,"Referat marker",
Echipamente,,2023-02-23,,"Prezentare generala echipamente.",
Laborator,,2023-02-22,,"Prezentare Pathfast",
Pathfast,,2023-02-22,,"Prezentare Pathfast",
Pathfast,,2023-02-22,,"Prezentare Pathfast",
Pathfast,,2023-02-22,,"Prezentare Pathfast.",
Pathfast,,2023-02-22,,"Prezentare Pathfast",
Aparate,,2023-02-20,,"Aparate noi",
Referat,,2023-02-20,,"Referat marker",
Achizitii,,2023-02-20,,"Licitatie Pathfast.",
UPU,,2023-02-20,,"Echipamente noi.",
CPU,,2023-02-17,,Pathfast,
Manager,,2023-02-17,,"Culegere informatii.",
Achizitii,,2023-02-13,,Relatioanare.,
Pathfast,,2023-02-13,,"Introducere Pathfast in CPU.",
UPU,,2023-02-13,,"Culegere informatii.",
Financiar,,2023-02-14,,Plati.,
Achizitii,,2023-02-14,,Comenzi.,
Ventilator,,2023-02-14,,"Licitatie ventilator T60.",
"Laborator UPU",,2023-02-14,,"Verificat Gastat 735",
UPU,,2023-02-14,,"Referat suplimentar Gastat",
Financiar,,2023-02-15,,"Facturi scadente.",
UPU,,2023-02-15,,Trombelastograf,
Achizitii,,2023-02-15,,Comenzi.,
Financiar,,2023-02-15,,"Facturi restante.",
Licitatie,,2023-02-15,,"Licitatie marker.",
"Pregatire licitatie",,2023-02-08,,Pathfast,
