Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Returnare echipament reparat conform P.V. nr. 590 din 25.01.2024","Cu Factura",Cerere,"UM 02175 - CUI: 4301383",Inchis,"Nivel Ridicat",2024-01-25,2024-01-25,Valleylab,"Victor Vlad"
"Ridicare echipament pentru depanare conform P.V. din 06.02.2024","Fara Factura",Cerere,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Ridicat",2024-02-06,2024-02-06,Pathfast,"Victor Vlad"
"Ridicare echipament pentru depanare conform P.V. din 06.02.2024","Fara Factura",Cerere,"Sp. Universitar de Urgenta Elias - CUI: 4192537",Inchis,"Nivel Ridicat",2024-02-06,2024-02-06,Pathfast,"Victor Vlad"
"Refacut circuite temperatura si calibrare cu hs-cTnl","Fara Factura",Cerere,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Ridicat",2024-02-07,2024-02-07,Pathfast,"Victor Vlad"
"Inlocuire intrerupator alimentare; verificare echipament","Fara Factura",Cerere,"Spitalul Jud. de Urgenta Constanta - CUI: 4301103",Inchis,"Nivel Ridicat",2024-02-28,2024-02-28,Valleylab,"Victor Vlad"
"Inlocuire senzor O2; efectuare teste autoverificare","Fara Factura",Cerere,"Sp. Universitar de Urgenta Elias - CUI: 4192537",Inchis,"Nivel Ridicat",2024-03-04,2024-03-04,"Ventilator Monnal T60","Victor Vlad"
"Returnare echipament Demo","Fara Factura",Cerere,"Medtronic Romania SRL - CUI: 35182347",Inchis,"Nivel Ridicat",2024-03-04,2024-03-04,Valleylab,"Victor Vlad"
"Ridicare echipament in vederea depanarii conform P.V. 1675 din 07.03.2024","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2024-03-07,2024-03-07,"Gastat 735","Victor Vlad"
"Verificare echipament, efectuat curatare cu hipoclorit, efectuat teste gastrol, verificat istoric erori","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2024-03-07,2024-03-07,"Gastat 735","Victor Vlad"
"Verificare echipament, efectuat teste gastrol, efectuat calibrare in 2 puncte","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2024-03-13,2024-03-13,"Gastat 735","Victor Vlad"
"Verificare echipament, efectuat curatare cu hipoclorit, efectuat teste gastrol, verificat istoric erori, inlocuit motor pompa peristaltica nr. 2","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2024-03-13,2024-03-13,"Gastat 735","Victor Vlad"
"Ridicare echipament pentru depanare conform P.V. nr. 2316 din 02.04.2024","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - Balotesti - CUI: 8372077",Inchis,"Nivel Ridicat",2024-04-02,2024-04-02,"Gastat 735","Victor Vlad"
"Verificare echipament, efectuat curatare Hb, efectuat teste gastrol, efectuat calibrare in 2 puncte conform P.V. 2687 din 17.04.2024","Fara Factura",Cerere,"Sp. Universitar de Urgenta Elias - CUI: 4192537",Inchis,"Nivel Ridicat",2024-04-17,2024-04-17,"Gastat 735","Victor Vlad"
"Verificare echipament conform P.V. nr. 2742 din 18.04.2024","Fara Factura",Cerere,"Spital Clinic Urgenta SF Ioan Bucuresti - CUI: 4204178",Inchis,"Nivel Ridicat",2024-04-18,2024-04-18,Pathfast,"Victor Vlad"
"Ridicare echipament pentru depanare conform P.V. nr. 3002 din 06.02.2024","Fara Factura",Cerere,"Sp. Universitar de Urgenta Elias - CUI: 4192537",Inchis,"Nivel Ridicat",2024-04-29,2024-04-29,"Ventilator Monnal T60","Victor Vlad"
