Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"VERIFICARE CAREVENT","Cu Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-11-23,,,"Claudiu Herlea"
"SERVICE GASTAT navy","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-11-24,,"Gastat Navi","Claudiu Herlea"
"VERIFICARE PATHFAST","Fara Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Mediu",2015-12-18,,Pathfast,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Mediu",2015-12-18,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-12-18,,,"Claudiu Herlea"
"SERVICE VALLEYLAB","Fara Factura",,"UMF Cluj Napoca - CUI: 4288047",Inchis,"Nivel Scazut",2015-12-18,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-12-18,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-12-18,,Pathfast,"Claudiu Herlea"
"SERVICE SPOTCHEM ","Fara Factura",,"UM 0502 Cabinet Medical Sibiu - CUI: ",Revenire,"Nivel Scazut",2015-12-18,,Spotchem,"Claudiu Herlea"
"SERVICE SPOTCHEM ","Fara Factura",,"UM 0502 Cabinet Medical Alba Iulia - CUI: ",Revenire,"Nivel Scazut",2015-12-18,,Spotchem,"Claudiu Herlea"
"SERVICE VALLEYLAB","Cu Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2015-12-18,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2016-01-06,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2016-01-06,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-01-06,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Municipal Cluj - CUI: 4547117",Inchis,"Nivel Scazut",2016-01-06,,Pathfast,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2016-01-06,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Instit.Inimii N.Stancioiu - CUI: 4617719",Inchis,"Nivel Scazut",2016-01-06,,Pathfast,"Claudiu Herlea"
"predare Spotchem","Fara Factura",,"UM 0502 Cabinet Medical Alba Iulia - CUI: ",Inchis,"Nivel Mediu",2016-01-20,,Spotchem,"Claudiu Herlea"
"SERVICE Pathfast","Cu Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2016-01-20,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Cu Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2016-01-20,,Pathfast,"Claudiu Herlea"
"SERVICE  Pathfast + Gastat","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2016-01-20,,Pathfast,"Claudiu Herlea"
"service Gastat navy","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-01-20,,"Gastat Navi","Claudiu Herlea"
"service valleylab","Cu Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-01-20,,,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-01-20,,Pathfast,"Claudiu Herlea"
"service valleylab","Cu Factura",,"Spital Judetean  Tg.Mures - CUI: 24014380",Inchis,"Nivel Scazut",2016-01-20,,,"Claudiu Herlea"
"predare Spotchem","Fara Factura",,"UM 0502 Cabinet Medical Sibiu - CUI: ",Inchis,"Nivel Scazut",2016-01-20,,Spotchem,"Claudiu Herlea"
"verificari ELITE","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-03-03,,,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spitalul Jud. de Urgenta Satu Mare - CUI: 3963722",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Sp. Orasenesc Abrud - CUI: 4562940",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spitalul Jud. de Urgenta Satu Mare - CUI: 3963722",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"service Nellcor","Cu Factura",Revizie,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-03-03,,,"Claudiu Herlea"
"service Gastat navy","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-03-03,,"Gastat Navi","Claudiu Herlea"
"SERVICE  Pathfast + Gastat","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Revenire,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spitalul Jud. de Urgenta Satu Mare - CUI: 3963722",Revenire,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"instalare Pathfast","Cu Factura",,"Spitalul Jud. de Urgenta Satu Mare - CUI: 3963722",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE  Gastat","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Revenire,"Nivel Scazut",2016-03-03,,,"Claudiu Herlea"
"instalare Pathfast","Cu Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"instalare Pathfast","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Revenire,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE Pathfast","Cu Factura",Revizie,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"SERVICE  Pathfast + Gastat","Cu Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Revenire,"Nivel Scazut",2016-03-03,,Pathfast,"Claudiu Herlea"
"service Gastat navy","Fara Factura",,"Spitalul Militar de Urgenta Sibiu - CUI: ",Inchis,"Nivel Scazut",2016-03-03,,,"Claudiu Herlea"
"SERVICE  Gastat","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2016-03-03,,,"Claudiu Herlea"
"SERVICE  Gastat","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2016-03-03,,,"Claudiu Herlea"
"SERVICE  Gastat","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2016-03-11,,,"Claudiu Herlea"
"SERVICE  Gastat","Cu Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2016-03-11,,,"Claudiu Herlea"
"service valleylab","Cu Factura",Revizie,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-03-11,,,"Claudiu Herlea"
"service Spotchem","Cu Factura",Revizie,"Cabinet Medical Bistrita-Nasaud - CUI: ",Inchis,"Nivel Scazut",2016-03-22,,Spotchem,"Claudiu Herlea"
"intretinere GASTAT ","Cu Factura",Instalare,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2016-03-30,,,"Claudiu Herlea"
"INTRETINERE STERINIS SR42","Cu Factura",Revizie,"Cabinet Medical Tg-Mures - CUI: ",Inchis,"Nivel Scazut",2016-03-30,,,"Claudiu Herlea"
"eroare - linia 2","Cu Factura",Revizie,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"eroare ECRAN PTH - campanie curatare PTH -  SMURD MURES","Cu Factura",Cerere,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"campanie verificare PTH - CARDIO AB","Cu Factura",Revizie,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"campanie verificare PTH - UPU BAIA MARE","Cu Factura",Revizie,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"campanie verificare PTH - CARDIO CJ","Cu Factura",Revizie,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"campanie verificare PTH - GHERLA","Cu Factura",Revizie,"Sp. Municipal Gherla - CUI: 4546995",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"campanie verificare PTH - SARMASU MURES","Cu Factura",Revizie,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"campanie verificare PTH - NEGRESTI OAS","Cu Factura",Revizie,"Sp. Orasenesc Negresti Oas - CUI: 3963960",Inchis,"Nivel Scazut",2016-04-08,,Pathfast,"Claudiu Herlea"
"Agitator si ac rupt URIT 8021","Cu Factura",Revizie,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2016-04-14,,,"Claudiu Herlea"
"bec lampa fotometrica ars","Cu Factura",Revizie,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2016-04-19,,,"Claudiu Herlea"
