Producator,Nume,Model,Serie,Activ,Functional,Organizatie,Sectie,"Nume (crm vechi)"
,,,1106B1235,,,,,Pathfast
,,,1105B1228,,,,,Pathfast
,,,0607A0432,,,,,Pathfast
,,,0704A0517,,,,,Pathfast
,,,1102B1184,,,,,Pathfast
,,,0512A0417,,,,,Pathfast
,,B,1102B1176,,,,,Pathfast
,,,0704A0520,,,,,Pathfast
,,,1103B1194,,,,,Pathfast
,,,1102B1179,,,,,Pathfast
,,,1106B1239,,,,,Pathfast
,,,0511A0362,,,,,Pathfast
,,,1102B1175,,,,,Pathfast
,,,1101B1155,,,,,Pathfast
,,,1102B1183,,,,,Pathfast
,,,0509A0233,,,,,Pathfast
,,,1301C1858,,,,,Pathfast
,,,0704A0515,,,,,Pathfast
,,,1103B1191,,,,,Pathfast
,,,1103B1196,,,,,Pathfast
,,,,,,,,Pathfast
,,,1304C1862,,,,,Pathfast
,,,1304C1860,,,,,Pathfast
,,,1106B1238,,,,,Pathfast
,,B,1102B1174,,,,,Pathfast
,,,1301C1861,,,,,Pathfast
,,,1102B1173,,,,,Pathfast
,,,1102B1189,,,,,Pathfast
,,,1105B1226,,,,,Pathfast
,,,"SE 03793001",,,,,"Gastat Navi"
,,,3600001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,,,,,,"Gastat 1820"
,,,,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,6091726,,,,,"Gastat Mini"
,,,3169001,,,,,"Gastat Navi"
,,,3974001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,3008001,,,,,"Gastat Navi"
,,,,,,,,"Protime InRhythm"
,,,100439,,,,,"Protime InRhythm"
,,,SE8566,,,,,"Hemochrom Signature Elite"
,,,SP1618,,,,,"Hemochrom Sign Jr RF"
,,,SP7874,,,,,"Hemochrom Signature+ Jr"
,,,,,,,,VerifyNow
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Response"
,,junior,"SP 7691",,,,,"Hemochrom Sign Jr Nou"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Signature Elite"
,,,"SP 2639",,,,,"Hemochrom Sign Jr RF"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Sign Jr RF"
,,,,,,,,"Hemochrom Signature Elite"
,,Junior,SP3269,,,,,"Hemochrom Sign Jr RF"
,,,,,,,,"Protime InRhythm"
,,,"SP 3232 - RF",,,,,"Hemochrom Sign Jr RF"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Protime InRhythm"
,,,,,,,,"Hemochrom Sign Jr RF"
,,,,,,,,"Hemochrom Sign Jr Nou"
,,,4198,,,,,"Hemochrom Signature Elite"
,,,"HR 6216 RF",,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Response"
,,,"HR 5220",,,,,"Hemochrom Response"
,,,86553,,,,,"Hemochrom Signature Elite"
,,,5447,,,,,"Hemochrom Signature Elite"
,,,,,,,,"Hemochrom Signature Elite"
,,,,,,,,"Hemochrom Response"
,,,,,,,,"Hemochrom Response"
,,,44534,,,,,IrmaTruPoint
,,,,,,,,"Avoximetru 1000E"
,,,,,,,,"Avoximetru 4000"
,,,50230,,,,,"Avoximetru 4000"
,,,,,,,,"Protime InRhythm"
,,,,,,,,"Protime InRhythm"
,,,,,,,,"Hemochrom Sign Jr Nou"
,,,,,,,,VerifyNow
,,,,,,,,VerifyNow
,,,,,,,,VerifyNow
,,,,,,,,"URIT 5200"
,,,,,,,,"URIT 5200"
,,,,,,,,"URIT 3000+"
,,,3000PE02091,,,,,"URIT 3000+"
,,,3001964E,,,,,"URIT 30"
,,,3001970E,,,,,"URIT 30"
,,,3001966E,,,,,"URIT 30"
,,,3001965E,,,,,"URIT 30"
,,,3001962E,,,,,"URIT 30"
,,,3001967E,,,,,"URIT 30"
,,,3001961E,,,,,"URIT 30"
,,,3001963E,,,,,"URIT 30"
,,,3001968E,,,,,"URIT 30"
,,,1229626E,,,,,"URIT 12"
,,,1229627E,,,,,"URIT 12"
,,,1229624E,,,,,"URIT 12"
,,,1229628E,,,,,"URIT 12"
,,,1229629E,,,,,"URIT 12"
,,,,,,,,Alcotest
,,,8319900,,,,,"Drug test 5000"
,,,ARZB0048,,,,,"Drug test 5000"
,,,,,,,,"Drug test 5000"
,,,ARCC-0392,,,,,Alcotest
,,,,,,,,Alcotest
,,EZ,41404033,,,,,Spotchem
,,,,,,,,"Pochet Chem"
,,,,,,,,"Sensititre Vizion"
,,,,,,,,"Sensititre Autoreader"
,,,,,,,,"Sensititre AIM"
,,,,,,,,"Sensititre Nefelometer"
,,,2203X1113,,,,,"VersaTREK 96"
,,,,,,,,"VersaTREK 240"
,,,,,,,,"VersaTREK 96"
,,,,,,,,"VersaTREK 96"
,,,,,,,,"Sensititre Vizion"
,,,,,,,,"Sensititre Optiread"
,,,R06N106,,,,,"Sensititre AIM"
,,,,,,,,"Sensititre Nefelometer"
,,,210111001,,,,,"Phoenix NCC 2310"
,,,,,,,,"Biowind B500"
,,,,,,,,"Biowind DUO"
,,,,,,,,"Biowind DUO"
,,,,,,,,"Biowind DUO"
,,,"SDP BA 00124",,,,,Unik
,,,,,,,,Unik
,,,,,,,,"Biowind B500"
,,,NHC0039,,,,,"Biowind B500"
,,,,,,,,"Biowind B500"
,,,,,,,,"Biowind B500"
,,,,,,,,"Biowind B250"
,,,,,,,,Unik
,,,,,,,,Unik
,,,,,,,,Pulsoximetru
,,,,,,,,"Ace Alera"
,,,,,,,,"Biochimie Alera"
,,,,,,,,"Coatron M1"
,,,11998703,,,,,"Analizor AIA 360"
,,,11998803,,,,,"Analizor AIA 360"
,,,,,,,,"Analizor AIA 360"
,,,,,,,,"Analizor AIA 360"
,,,,,,,,"Analizor AIA 360"
,,,,,,,,"Analizor AI 600 II"
,,,,,,,,"Analizor AI 600 II"
,,,,,,,,"Analizor AI 600 II"
,,,,,,,,"Analizor AIA 360"
,,,,,,,,"Analizor AIA 360"
,,,PLC-05,,,,,Centrifuga
,,,0510A0318,,,,,Pathfast
,,,1505C2359,,,,,Pathfast
,,,1105B1223,,,,,Pathfast
,,,0512A0399,,,,,Pathfast
,,,0512A0403,,,,,Pathfast
,,,0512A0398,,,,,Pathfast
,,,0512A0395,,,,,Pathfast
,,,0512A0396,,,,,Pathfast
,,,0512A0387,,,,,Pathfast
,,,0512A0391,,,,,Pathfast
,,,0512A0392,,,,,Pathfast
,,,0512A0401,,,,,Pathfast
,,,0704A0503,,,,,Pathfast
,,,0704A0505,,,,,Pathfast
,,,0704A0509,,,,,Pathfast
,,,0704A0502,,,,,Pathfast
,,,0704A0507,,,,,Pathfast
,,,0704A0513,,,,,Pathfast
,,,0607A0440,,,,,Pathfast
,,A,0607A0433,,,,,Pathfast
,,,0607A0428,,,,,Pathfast
,,,3010001,,,,,"Gastat Navi"
,,,3770001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,906988,,,,,"Gastat 603ie"
,,,3615001,,,,,"Gastat Navi"
,,,3151001,,,,,"Gastat Navi"
,,,3008001,,,,,"Gastat Navi"
,,,3910001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,3012001,,,,,"Gastat Navi"
,,,3353001,,,,,"Gastat Navi"
,,,835093,,,,,"Gastat 602"
,,,3304001,,,,,"Gastat Navi"
,,Navi,7032727,,,,,"Gastat Mini"
,,,3241001,,,,,"Gastat Navi"
,,,3393001,,,,,"Gastat Navi"
,,,3203001,,,,,"Gastat Navi"
,,,3426001,,,,,"Gastat Navi"
,,,3011001,,,,,"Gastat Navi"
,,,503406,,,,,"Gastat 603ie"
,,,3922001,,,,,"Gastat Navi"
,,,3634001,,,,,"Gastat Navi"
,,,3893001,,,,,"Gastat Navi"
,,,9063419,,,,,"Gastat Mini"
,,,3141001,,,,,"Gastat Navi"
,,,3638001,,,,,"Gastat Navi"
,,,3270001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,3366001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Mini"
,,,3885001,,,,,"Gastat Navi"
,,Elite,SE5757,,,,,"Hemochron Signature Elite"
,,,,,,,,"Hemochrom Signature Elite"
,,Elite,SE8617,,,,,"Hemochron Signature Elite"
,,,5200E01012,,,,,"URIT 5200"
,,,3001864E,,,,,"URIT 30"
,,,3001795E,,,,,"URIT 30"
,,,"ARBN 0535",,,,,Alcotest
,,,,,,,,"Drug test 5000"
,,,ARCE001,,,,,"Drug test 5000"
,,,ARCE004,,,,,"Drug test 5000"
,,,ARCC003,,,,,"Drug test 5000"
,,,40705058,,,,,"Pochet Chem"
,,,40801068,,,,,Spotchem
,,,40705118,,,,,Spotchem
,,,41005027,,,,,Spotchem
,,,41005051,,,,,Spotchem
,,,40803049,,,,,Spotchem
,,,40802005,,,,,Spotchem
,,,40803122,,,,,Spotchem
,,,40705117,,,,,Spotchem
,,,41005059,,,,,Spotchem
,,,40706064,,,,,Spotchem
,,,40802081,,,,,Spotchem
,,,41005029,,,,,Spotchem
,,,40911003,,,,,Spotchem
,,,41002021,,,,,Spotchem
,,,40801067,,,,,Spotchem
,,,40803127,,,,,Spotchem
,,,40803123,,,,,Spotchem
,,,40706062,,,,,Spotchem
,,,41007004,,,,,Spotchem
,,,40708091,,,,,Spotchem
,,,40708092,,,,,Spotchem
,,,40706063,,,,,Spotchem
,,,41002045,,,,,Spotchem
,,,40803130,,,,,Spotchem
,,,40802003,,,,,Spotchem
,,,40802083,,,,,Spotchem
,,,40704046,,,,,Spotchem
,,,40802007,,,,,Spotchem
,,,40801061,,,,,Spotchem
,,,40803129,,,,,Spotchem
,,,40801166,,,,,Spotchem
,,,40803126,,,,,Spotchem
,,,40705116,,,,,Spotchem
,,,40707060,,,,,Spotchem
,,,41005025,,,,,Spotchem
,,,40708094,,,,,Spotchem
,,,40801070,,,,,Spotchem
,,,40802010,,,,,Spotchem
,,,40708095,,,,,Spotchem
,,,40706061,,,,,Spotchem
,,,40706065,,,,,Spotchem
,,,41302026,,,,,Spotchem
,,,40804010,,,,,Spotchem
,,,40705116,,,,,Spotchem
,,,40803131,,,,,Spotchem
,,,,,,,,Spotchem
,,,"CVP 1659",,,,,CAREVENT
,,,"CVP 1656 1657",,,,,CAREVENT
,,,1497,,,,,"Biochimie Ace"
,,,8070730,,,,,"Biochimie Alera"
,,,2996,,,,,"Coatron M1"
,,,10627409,,,,,"Analizor G8 Tosoh"
,,,,,,,,"Hemastar II"
,,,SP7875,,,,,"Hemochron Signature+ Jr"
,,Elite,SE9136,,,,,"Hemochron Signature Elite"
,,,,,,,,"Gastat Navi"
,,,,,,,,Pathfast
,,,7866,,,,,"Hemochron Signature Jr"
,,,SE7872,,,,,"Hemochron Signature Jr."
,,,0511A0376,,,,,Pathfast
,,Elite,9371,,,,,"Hemochron Signature Elite"
,,Elite,9390,,,,,"Hemochron Sign Elite"
,,,,,,,,"Imprimanta Hemochron"
,,,41405049,,,,,"Spotchem EZ SP-4430"
,,Elite,9394,,,,,"Hemochron Sign Elite"
,,,SP3232,,,,,"Hemochron Jr Signature+"
,,,,,,,,"Carevent ATV 01CV6000-C"
,,,,,,,,"Biowind B250"
,,,1403C2087,,,,,Pathfast
,,Elite,9378,,,,,"Hemochron Signature Elite"
,,Elite,9402,,,,,"Hemochron Signature Elite"
,,Elite,9329,,,,,"Hemochron Signature Elite"
,,Elite,9175,,,,,"Hemochron Signature Elite"
,,Elite,9391,,,,,"Hemochron Signature Elite"
,,Elite,9387,,,,,"Hemochron Signature Elite"
,,Elite,9374,,,,,"Hemochron Signature Elite"
,,Elite,9147,,,,,"Hemochron Signature Elite"
,,Elite,5447,,,,,"Hemochron Signature Elite"
,,Elite,9411,,,,,"Hemochron Signature Elite"
,,Elite,9397,,,,,"Hemochron Signature Elite"
,,Elite,9340,,,,,"Hemochron Signature Elite"
,,Elite,9381,,,,,"Hemochron Signature Elite"
,,Elite,9380,,,,,"Hemochron Signature Elite"
,,Elite,9393,,,,,"Hemochron Signature Elite"
,,Elite,8792,,,,,"Hemochron Signature Elite"
,,Elite,8047,,,,,"Hemochron Signature Elite"
,,Elite,9396,,,,,"Hemochron Signature Elite"
,,Elite,9372,,,,,"Hemochron Signature Elite"
,,Elite,9407,,,,,"Hemochron Signature Elite"
,,Elite,9412,,,,,"Hemochron Signature Elite"
,,Elite,9399,,,,,"Hemochron Signature Elite"
,,Elite,9406,,,,,"Hemochron Signature Elite"
,,Elite,9409,,,,,"Hemochron Signature Elite"
,,Elite,9376,,,,,"Hemochron Signature Elite"
,,Elite,9401,,,,,"Hemochron Signature Elite"
,,Elite,9408,,,,,"Hemochron Signature Elite"
,,Elite,9375,,,,,"Hemochron Signature Elite"
,,Elite,9392,,,,,"Hemochron Signature Elite"
,,Elite,9364,,,,,"Hemochron Signature Elite"
,,,1301C1861,,,,,Pathfast
,,,"SE 9183",,,,,"Hemochron Signature Elite"
,,Elite,9407,,,,,"Hemochron Signature Elite"
,,,SP1618,,,,,"Hemochron Jr Signature+"
,,,1404C2097,,,,,Pathfast
,,,"1,6908E+14",,,,,VersaTREK
,,,6333,,,,,VerifyNow
,,1000,7206,,,,,"AVOX 1000E"
,,"Gastat 1835",1014432,,,,,"Gastat 1835"
,,,6271,,,,,VerifyNow
,,,6330,,,,,VerifyNow
,,,1403C2089,,,,,Pathfast
,,,1404C2098,,,,,Pathfast
,,,100587,,,,,"Protime InRhythm"
,,,210111003,,,,,"Phoenix NCC 2310"
,,,,,,,,"Spotchem EZ SP-4430"
,,,1020432,,,,,"Gastat 1830"
,,,1105B1226,,,,,"Pathfast "
,,,0512A0417,,,,,Pathfast
,,,1404C2096,,,,,Pathfast
,,,0512A0417,,,,,"Pathfast "
,,,41407073,,,,,Spotchem
,,,1102B1230,,,,,Pathfast
,,,1102B1186,,,,,Pathfast
,,,704541,,,,,"GASTAT 1835"
,,,0511A0377,,,,,Pathfast
,,,"SE 8640",,,,,"HEMOCHRON ELITE "
,,,1404C2099,,,,,"Pathfast "
,,C,1403C2088,,,,,Pathfast
,,,1102B1180,,,,,Pathfast
,,,1404C2095,,,,,"Pathfast "
,,,80167,,,,,"URIT 8021A"
,,,A09N300023,,,,,"STERNIS SR 42"
,,,T7J4230E,,,,,"VALLEYLAB FORCE TRIADE"
,,,A08N1000680,,,,,"STERNIS SR2"
,,,"SE 4361",,,,,"Hemochron Signature Elite"
,,,1021432,,,,,"Gastat 1830"
,,,3869001,,,,,"Gastat Navi"
,,,A08N1000699,,,,,"STERNIS SR2"
,,A,0511A0364,,,,,Pathfast
,,,1505C2357,,,,,"Pathfast "
,,,2307,,,,,"Mobiwatch Minibio"
,,,2311,,,,,"Mobiwatch Minibio"
,,,2312,,,,,"Mobiwatch Minibio"
,,,2324,,,,,"Mobiwatch Maxibio"
,,,2325,,,,,"Mobiwatch Maxibio"
,,,1505C2367,,,,,Pathfast
,,,T7E2966E,,,,,"VALLEYLAB FORCE TRIADE"
,,,1506C2370,,,,,"Pathfast "
,,,1505C2366,,,,,"Pathfast "
,,,1506C2369,,,,,Pathfast
,,,1103B1195,,,,,Pathfast
,,,0510A0321,,,,,Pathfast
,,,ARHC-0092,,,,,Drager
,,,5146,,,,,VerifyNow
,,,1404C2099,,,,,Pathfast
,,,4086404,,,,,"Gastat Navi"
,,,1940X1112,,,,,VersaTrek
,,,1505C2350,,,,,Pathfast
,,,1506C2388,,,,,Pathfast
,,,1403C2090,,,,,"Pathfast "
,,,1506C2384,,,,,Pathfast
,,,41005052,,,,,SPOTCHEM
,,,"1,69182E+14",,,,,"Versatrek "
,,,1506C2387,,,,,Pathfast
,,,2313,,,,,"Mobiwatch Minibio"
,,,2314,,,,,"Mobiwatch Minibio"
,,,2315,,,,,"Mobiwatch Minibio"
,,,2316,,,,,"Mobiwatch Minibio"
,,,SDPBAS0024,,,,,UNIK
,,,2345X0914,,,,,VersaTREK
,,," 1113X1004",,,,,VersaTREK
,,,0510A0249,,,,,Pathfast
,,,SE9175,,,,,"Hemochrom SIgnature Elite"
,,,41002021,,,,,Spotchem
,,,1505C2361,,,,,PATHFAST
,,,1506C2371,,,,,PATHFAST
,,,1505C2356,,,,,PATHFAST
,,,117100,,,,,"gastat navy"
,,,SE10076,,,,,"Hemochron Signature Elite"
,,,1506C2390,,,,,Pathfast
,,,1106B1232,,,,,Pathfast
,,,9383,,,,,"Hemochron Signature Elite"
,,,ARCC003,,,,,Drager
,,,3305001,,,,,"Gastat Navi"
,,,ARCC003,,,,,Drager
,,,5200E01018,,,,,"Urit 5200"
,,,A09N300033,,,,,"STERINIS SR4"
,,,1003432,,,,,"Gastat 1830"
,,,6273,,,,,VerifyNow
,,,"sn cluj napoca",,,,,versatrek
,,,"sn deva",,,,,versatrek
,,,"sn cluj napoca",,,,,versatek
,,,,,,,,Elite
,,,,,,,,ELITE
,,,,,,,,Sensititer
,,,1103B1192,,,,,Pathfast
,,,3366001,,,,,"Gastat Navi"
,,,A1H1312260010,,,,,"Skyla biochimie"
,,,TEST,,,,,skyla
,,,"HR 8547",,,,,"Hemochron Response"
,,,"HR 8550",,,,,"Hemochron Response"
,,,"SE 10077",,,,,"Hemochron Signature Elite"
,,,"SE 10107",,,,,"Hemochron Signature Elite"
,,,"SE 10109",,,,,"Hemochron Signature Elite"
,,,"SP 7876",,,,,"Hemochron JR.Signature +"
,,,100439,,,,,"Protime In Rhythm"
,,,100448,,,,,"Protime In Rhythm"
,,,100507,,,,,"Protime In Rhythm"
,,,100587,,,,,"Protime In Rhythm"
,,,1058964C,,,,,"Imprimanta DPU"
,,,1075731C,,,,,"Imprimanta DPU"
,,,1058711C,,,,,"Imprimanta DPU"
,,,302330,,,,,"Gastat 1820"
,,,735541,,,,,"Gastat 1830"
,,,41405026,,,,,Spotchem
,,,ARFB-0050,,,,,Drager
,,,CVP1770-2008,,,,," Carevent ATV+C (O-TWO)"
,,,CVP1765-2008,,,,,"Carevent ATV+C   O-TWO"
,,,206440,,,,,"Pipeta MULTI 8-Chanell (Vistalab)"
,,,QCR284,,,,,"Syntron QCR6000"
,,,QCR282,,,,,"Syntron QCR6000"
,,,QCR297,,,,,"Syntron QCR6000"
,,,QCR298,,,,,"Syntron QCR6000"
,,,QCR286,,,,,"Syntron QCR6000"
,,,QCR292,,,,,"Syntron QCR6000"
,,,QCR288,,,,,"Syntron QCR6000"
,,,QCR291,,,,,"Syntron QCR6000"
,,,QCR283,,,,,"Syntron QCR6000"
,,,1505C2345,,,,,Pathfast
,,,1505C2354,,,,,Pathfast
,,,1505C2349,,,,,Pathfast
,,,1505C2358,,,,,Pathfast
,,,1505C2359,,,,,Pathfast
,,,1505C2360,,,,,Pathfast
,,,1506C2372,,,,,Pathfast
,,,1505C2364,,,,,Pathfast
,,,1506C2373,,,,,Pathfast
,,,1505C2365,,,,,Pathfast
,,,1506C2368,,,,,Pathfast
,,,1506C2374,,,,,Pathfast
,,,1506C2381,,,,,Pathfast
,,,1506C2382,,,,,Pathfast
,,,1506C2385,,,,,Pathfast
,,,1506C2383,,,,,Pathfast
,,,1506C2386,,,,,Pathfast
,,,1506C2389,,,,,Pathfast
,,,9185,,,,,"Hemochron Elite"
,,,100516,,,,,"Protime In Rythm"
,,,"SE 9151",,,,,"Hemochron Signature Elite"
,,,1506C2383,,,,,Pathfast
,,,1506C2385,,,,,Pathfast
,,,1505C2362,,,,,Pathfast
,,,"SE 11788",,,,,"Hemocron Signature Elite"
,,,1505C2346,,,,,Pathfast
,,,1404C2095,,,,,Pathfast
,,,SR2V2XX2A08N1000738,,,,,Sterinis
,,,1505C2352,,,,,Pathfast
,,,2323,,,,,"Aparat dezinfectie MaxiBio"
,,,"SE 9151",,,,,"Hemochrom Signature Elite "
,,,3012001,,,,,"Gastat Navi "
,,,1506C2386,,,,,Pathfast
,,,"CVP 1660",,,,,"ventilator CARE VENT ATV+"
,,,"CVP 1661",,,,,"ventilator CARE VENT ATV+"
,,,9186,,,,,"Hemochron Elite"
,,,0704A03502,,,,,Pathfast
,,,HR5220,,,,,"Hemochron Response "
,,,8187405,,,,,"Gastat Navi"
,,,1506C2382,,,,,Pathfast
,,,11789,,,,,"Hemochron Elite"
,,,8185405,,,,,"Gastat Navi"
,,,3008001,,,,,"Gastat Navi"
,,,3062,,,,,"Ventilator Monnal T60"
,,,3047,,,,,"Ventilator Monnal T60"
,,,3076,,,,,"Ventilator Monnal T60"
,,,3109,,,,,"Ventilator Monnal T60"
,,,3127,,,,,"Ventilator Monnal T60"
,,,3077,,,,,"Ventilator Monnal T60"
,,,1505C2351,,,,,Pathfast
,,,3083,,,,,"Ventilator Monnal T60"
,,,3050,,,,,"Ventilator Monnal T60"
,,,3061,,,,,"Ventilator Monnal T60"
,,,"SDP BA 0173",,,,,Aseps
,,,T7J4269E,,,,,"Valleylab ForceTriad Ligasure"
,,,1505C2306,,,,,Pathfast
,,,11790,,,,,"Hemochron Elite"
,,,8186405,,,,,"Gastat Navi"
,,,1506C2372,,,,,Pathfast
,,,9184,,,,,"Hemochron Signature Elite"
,,,5250E01254,,,,,"Urit 5250"
,,,1505C2365,,,,,Pathfast
,,,1506C2373,,,,,Pathfast
,,,1505C2347,,,,,Pathfast
,,,11788,,,,,"Hemochron Elite"
,,,2517,,,,,minibio
,,,337174,,,,,videolaringoscop
,,,337811,,,,,videolaringoscop
,,,2309,,,,,"Mobiwatch Minibio"
,,,342712,,,,,videolaringoscop
,,,1505C2348,,,,,Pathfast
,,,10107,,,,,"Hemochron Elite"
,,,9174,,,,,"Hemochron Elite"
,,,2542,,,,,minibio
,,,2541,,,,,minibio
,,,13313,,,,,"Hemochron Elite"
,,,4158404,,,,,"Gastat Navi"
,,,0905A0916,,,,,Pathfast
,,,1505C2355,,,,,Pathfast
,,,342715,,,,,videolaringoscop
,,,340254,,,,,videolaringoscop
,,,340915,,,,,videolaringoscop
,,,340928,,,,,videolaringoscop
,,,1606D2736,,,,,Pathfast
,,,8183405,,,,,"Gastat Navi"
,,,14042,,,,,"Hemochron Elite"
,,,340897,,,,,videolaringoscop
,,,1610D2849,,,,,Pathfast
,,,340898,,,,,videolaringoscop
,,,9410,,,,,"Hemochron Elite"
,,,service,,,,,Pathfast
,,,"2,02E+11",,,,,"ventilator EPV 200"
,,,2520,,,,,"Minibio "
,,,NI50H18017,,,,,"Norma ICON 5"
,,,ARCC-000016,,,,,"Drager 5000"
,,,"A 0176/C 0347/ L 0172",,,,,"unyvero "
,,,2541,,,,,"Minibio "
,,,1610D2842,,,,,Pathfast
,,,N150H180038,,,,,"Norma Icon 5"
,,,50230,,,,,"Avoxiimetru 4000"
,,,3001964E,,,,,"Urit 30"
,,,51700160,,,,,"Spotchem "
,,,MT60-06183,,,,,"Ventilator Monnal T60"
,,,1506C2389,,,,,Pathfast389
,,,1709D3063,,,,,Pathfast
,,,20529-3,,,,,"Airpura UV 600"
,,,20529-2,,,,,"Airpura UV 600"
,,,20529-1,,,,,"Airpura UV 600"
,,,22463-4,,,,,"Airpura UV 600"
,,,3300001,,,,,"Gastat Navi"
,,,1709D3061,,,,,Pathfast
,,,14418,,,,,"Hemochron Elite "
,,,HR8597,,,,,"Hemochron Response "
,,,M336418,,,,,videolaringoscop
,,,1806D3203,,,,,Pathfast
,,,1709D3064,,,,,Pathfast
,,,MT60-06172,,,,,"Ventilator Monnal T60"
,,,MT60-06171,,,,,"Ventilator Monnal T60"
,,,MT60-06170,,,,,"Ventilator Monnal T60"
,,,MT60-06176,,,,,"Ventilator Monnal T60"
,,,MT60-06173,,,,,"Ventilator Monnal T60"
,,,MT60-06086,,,,,"Ventilator Monnal T60"
,,,MT60-06175,,,,,"Ventilator Monnal T60"
,,ForceTriad,F8B5949A,,,,,"Valleylab FX"
,,,1806D3206,,,,,Pathfast
,,,2596,,,,,Minibio
,,,1005432,,,,,"Gastat 1835 aqc"
,,,MT60-06319,,,,,"Ventilator Monnal T60"
,,,MT60-06311,,,,,"Ventilator Monnal T60"
,,C,1505C2349,,,,,Pathfast
,,,"A 0187/L4 0173/C8 0347",,,,,unyvero
,,,2623,,,,,Minibio
,,,2625,,,,,Minibio
,,,2624,,,,,Minibio
,,,2622,,,,,Minibio
,,,2621,,,,,Minibio
,,,2620,,,,,Minibio
,,,2597,,,,,Minibio
,,,MT60-06291,,,,,"Ventilator Monnal T60"
,,,MT60-06552,,,,,"Ventilator Monnal T60"
,,,1709D3062,,,,,Pathfast
,,,1806D3202,,,,,Pathfast
,,,302330,,,,,"Gastat 1830"
,,,"A 0083/ L 0091/ C 0066",,,,,unyvero
,,,1807D3232,,,,,Pathfast
,,,1807D3231,,,,,Pathfast
,,,1808D3253,,,,,Pathfast
,,,1808D3251,,,,,Pathfast
,,,1808D3252,,,,,Pathfast
,,,1807D3233,,,,,Pathfast
,,,1808D3258,,,,,Pathfast
,,,1807D3235,,,,,Pathfast
,,,1808D3262,,,,,Pathfast
,,,1808D3254,,,,,Pathfast
,,,NI30H18177,,,,,"Norma ICON 3"
,,,1808D3263,,,,,Pathfast
,,,1902D3369,,,,,Pathfast
,,,16394,,,,,"Hemochron Elite"
,,,MT75-07735,,,,,"Monnal T75"
,,,1807D3234,,,,,Pathfast
,,,MT60-06551,,,,,"Monnal T60"
,,,HR8616,,,,,"Hemochron Response "
,,,1903D3407,,,,,Pathfast
,,,1903D3408,,,,,Pathfast
,,,1806D3204,,,,,Pathfast
,,,11479707,,,,,"Gastat Navi"
,,D,1808D3255,,,,,Pathfast
,,,1904D3472,,,,,Pathfast
