Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Gastat - 1830 eroare masurare Hb","Fara Factura",,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-01-12,,,"Razvan Dinescu"
"Hemochron Elite - Defect","Fara Factura",,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-01-12,,"Hemochron Signature Elite","Razvan Dinescu"
"Ecran defect Pathfast","Fara Factura",,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Preluat,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Gastat - 1835 erori calibrare ","Fara Factura",,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-01-12,,,"Razvan Dinescu"
"URIT 8030","Fara Factura",,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2016-01-12,,,"Razvan Dinescu"
"Pathfast  - Eroare citire card","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"UM 02482 - CUI: 4364594",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-12,,,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2016-01-15,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Institutul Clinic Fundeni - CUI: 4204003",Inchis,"Nivel Scazut",2016-01-21,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2016-01-25,,Pathfast,"Razvan Dinescu"
"Pathfast defect ","Fara Factura",,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-26,,,"Razvan Dinescu"
"Revizie periodica Gastat 603ie ","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-26,,,"Razvan Dinescu"
"Pathfast eroare M0106","Fara Factura",,"Spital Clinic Urgenta SF Ioan Bucuresti - CUI: 4204178",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Predare analizor Pathfast ","Fara Factura",,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Cu Factura",,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Cu Factura",,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-01-26,,Pathfast,"Razvan Dinescu"
"Instalare analizor Pathfast","Cu Factura",,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-02-01,,,"Razvan Dinescu"
"Verificare Pathfast QC D-Dimer","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-02-01,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Spitalul Jud. Buzau - CUI: 4055750",Inchis,"Nivel Scazut",2016-02-04,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-02-05,,Pathfast,"Razvan Dinescu"
"Gastat - 1830 eroare de calibrare al electrodului de Na","Fara Factura",,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-02-05,,,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-02-05,,Pathfast,"Razvan Dinescu"
"Analizor hematologie URIT","Cu Factura",,"Sp. Jud. de Urg. Craiova - CUI: 5002142",Inchis,"Nivel Scazut",2016-02-08,,,"Razvan Dinescu"
"PIF Pathfast","Cu Factura",,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-02-08,,,"Razvan Dinescu"
"Verificare si remediere defecte analizor Pathfast ","Fara Factura",,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Revenire,"Nivel Scazut",2016-02-11,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2016-02-22,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"UM 02175 - CUI: 4301383",Inchis,"Nivel Scazut",2016-02-24,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Centrul Clinic de Urg. de Boli Cardio. al Armatei Constantin Zamfir - CUI: ",Inchis,"Nivel Scazut",2016-02-25,,Pathfast,"Razvan Dinescu"
"Preluare centrifuga Micro-One ","Fara Factura",,"Spitalul de Urgenta Tulcea - CUI: 4026712",Inchis,"Nivel Scazut",2016-02-25,,,"Razvan Dinescu"
"Depanare analizor biochimie URIT 8030","Fara Factura",,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2016-02-26,,,"Razvan Dinescu"
"Eroare M0103 Axa Y , I00013 ","Fara Factura",,"Sp.Jud.de Urgenta Slatina - CUI: 4394927",Inchis,"Nivel Scazut",2016-03-01,,Pathfast,"Razvan Dinescu"
"Service Gastat 1830 ","Cu Factura",,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-03-04,,,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-03-10,,Pathfast,"Razvan Dinescu"
"Mentenanta periodica si calibrare analizor Pathfast","Fara Factura",,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2016-03-14,,Pathfast,"Razvan Dinescu"
"Mentenanta periodica si calibrare analizor Pathfast","Fara Factura",,"AngioLife - CUI: ",Inchis,"Nivel Scazut",2016-03-14,,Pathfast,"Razvan Dinescu"
"PIF si Instruire personal Pathfast","Cu Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-03-16,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Cu Factura",,"Sp.Cl.de Urg.'SF Pantelimon' - CUI: 4203881",Inchis,"Nivel Scazut",2016-03-17,,Pathfast,"Razvan Dinescu"
"Mentenanta periodica Pathfast","Fara Factura",Revizie,"Sp.Cl.de Urg.'SF Pantelimon' - CUI: 4203881",Preluat,"Nivel Scazut",2016-03-18,,Pathfast,"Razvan Dinescu"
"Eroare calibrare D-dimer","Fara Factura",,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-03-18,,Pathfast,"Razvan Dinescu"
"URIT 3000 Plus - Defect","Fara Factura",Cerere,"Spital de Psihiatrie Sapunari - CUI: 3466375",Inchis,"Nivel Scazut",2016-03-18,,,"Razvan Dinescu"
"PIF Pathfast Cardiologie","Fara Factura",Instalare,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-04-01,,Pathfast,"Razvan Dinescu"
"Mentenanta periodica Pathfast","Fara Factura",Revizie,"Spitalul Jud. Buzau - CUI: 4055750",Inchis,"Nivel Scazut",2016-04-04,,Pathfast,"Razvan Dinescu"
"Mentenanta periodica Pathfast","Fara Factura",Revizie,"Spitalul Jud. Buzau - CUI: 4055750",Revenire,"Nivel Scazut",2016-04-04,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Cl.Jud.Urg.Brasov - CUI: 4384117",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"UM 02474 - CUI: 4688639",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1 ","Fara Factura",Revizie,"Spit.Jud.de Urg.Dr.Fogolyan Kristof Sf.Gheorghe - CUI: 4202010",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Judetean Miercurea Ciuc - CUI: 4245305",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Jud. Slobozia - CUI: 4231768",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Jud. Slobozia - CUI: 4231768",Nou,"Nivel Scazut",2016-04-06,,,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spit.Jud de urgenta Calarasi - CUI: 3233078",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Jud. de Urgenta Constanta - CUI: 4301103",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pahtfast semestrul 1","Fara Factura",Revizie,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1 ","Fara Factura",Revizie,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul de Urgenta Tulcea - CUI: 4026712",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul de Urgenta Tulcea - CUI: 4026712",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Judetean Pitesti - CUI: 4122205",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spitalul Judetean Pitesti - CUI: 4122205",Nou,"Nivel Scazut",2016-04-06,,,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1 ","Fara Factura",Revizie,"Spital Judetean de Urgenta Valcea - CUI: 2540589",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Spital Judetean de Urgenta Valcea - CUI: 2540589",Nou,"Nivel Scazut",2016-04-06,,,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,,Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1 ","Fara Factura",Revizie,"Spit. Judetean Giurgiu - CUI: 4352620",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Sp Jud de Urgenta Ploiesti - CUI: 2844545",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1","Fara Factura",Revizie,"Sp Jud de Urgenta Ploiesti - CUI: 2844545",Nou,"Nivel Scazut",2016-04-06,,Pathfast,"Razvan Dinescu"
"Campanie curatare Pathfast semestrul 1 ","Fara Factura",Revizie,"Sp.Cl.de Urg.'SF Pantelimon' - CUI: 4203881",Nou,"Nivel Scazut",2016-04-07,,Pathfast,"Razvan Dinescu"
"Eroare PMT Pathfast ","Fara Factura",Cerere,"Spit.Jud.de Urg.Dr.Fogolyan Kristof Sf.Gheorghe - CUI: 4202010",Inchis,"Nivel Scazut",2016-04-18,,Pathfast,"Razvan Dinescu"
"Eroare functionare analizor Pathfast","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-04-19,,Pathfast,"Razvan Dinescu"
"Gastat 1835 eroare electrod HB","Fara Factura",Cerere,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-04-25,,,"Razvan Dinescu"
"Predare analizor Pathfast","Fara Factura",Cerere,"Sp.Cl.de Urg.'SF Pantelimon' - CUI: 4203881",Inchis,"Nivel Scazut",2016-04-26,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast ","Fara Factura",Cerere,"UM 02175 - CUI: 4301383",Inchis,"Nivel Scazut",2016-05-05,,Pathfast,"Razvan Dinescu"
"Eroare calibrare P-SEP analizor Pathfast ","Fara Factura",Cerere,"UM 02482 - CUI: 4364594",Inchis,"Nivel Scazut",2016-05-18,,Pathfast,"Razvan Dinescu"
"Eroare calibrare NTproBNP analizor Pathfast","Fara Factura",Cerere,"Institutul Clinic Fundeni - CUI: 4204003",Inchis,"Nivel Scazut",2016-05-19,,Pathfast,"Razvan Dinescu"
"Curatare si verificare Pathfast","Fara Factura",Cerere,"Spitalul de Urgenta Tulcea - CUI: 4026712",Inchis,"Nivel Scazut",2016-05-30,,Pathfast,"Razvan Dinescu"
"Predare analizor","Fara Factura",Cerere,"Spital de Urgenta al M.A.I. Dr. Dimitrie Gerota - CUI: 4283767",Inchis,"Nivel Scazut",2016-06-07,,Pathfast,"Razvan Dinescu"
"Ecran defect Pathfast UPU ","Fara Factura",Cerere,"Spital de Urgenta al M.A.I. Dr. Dimitrie Gerota - CUI: 4283767",Inchis,"Nivel Scazut",2016-06-08,,Pathfast,"Razvan Dinescu"
"URIT - 8030 defect","Fara Factura",Cerere,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2016-06-14,,,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",Cerere,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2016-06-21,,Pathfast,"Razvan Dinescu"
"Verificare analizor Pathfast -ATI Galati","Fara Factura",Cerere,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Eroare de calibrare Na, inlocuire consumabile - Gastat 1835","Cu Factura",Cerere,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"URIT - 8030 Inlocuire lampa halogen","Fara Factura",Cerere,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Gastat 1830 Eroare TH0","Fara Factura",Cerere,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Pathfast blocat","Fara Factura",Cerere,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Verificare Gastat 600 ","Fara Factura",Revizie,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Verificare analizor Gastat 1830","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Gastat 603 - ATI ","Fara Factura",Cerere,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Preluat,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Pathfast Universitar ATI / sesizare: Nu lucreaza D-dimer.","Fara Factura",Cerere,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Gastat 1830 ","Fara Factura",Cerere,"Sp. Jud. de Urg. Targoviste - CUI: 4206845",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Sp. Cl. de Urg. Bagdasar-Arseni - CUI: 4943871",Inchis,"Nivel Scazut",2016-06-28,,,"Razvan Dinescu"
"Ecran defect Pathfast","Fara Factura",Cerere,"Spital de Urgenta al M.A.I. Dr. Dimitrie Gerota - CUI: 4283767",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Sp.Cl.de Urg.'SF Pantelimon' - CUI: 4203881",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Sp.Cl.de Urg.'SF Pantelimon' - CUI: 4203881",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
"Revizie analizor Pathfast","Cu Factura",Revizie,"Inst. de Boli Cardiovasculare 'CC Iliescu' - CUI: 4203628",Inchis,"Nivel Scazut",2016-06-28,,Pathfast,"Razvan Dinescu"
