Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"revizie periodica",,,,,,2015-04-16,,,
"erori repetate",,,,,,2015-04-16,,,
"aparatul afiseaza rezultate eronate",,,,,,2015-04-16,,,
"Analizor Pathfast defect",,,,,,2015-05-05,,,
test,,,,,,2015-05-06,,,
"inlocuire imprimanta Pathfast",,,,,,2015-05-08,,,
"Defectiune aspiratie proba",,,,,,2015-05-13,,,
"instalare Versatrek",,,,,,2015-05-13,,,
"schimbare accesorii Biowind B500",,,,,,2015-05-15,,,
"verificare periodica Pathfast",,,,,,2015-05-15,,,
"Eroare functionare Avoximetru ",,,,,,2015-05-27,,,
"verificare periodica Pathfast",,,,,,2015-08-19,,,
"verificare periodica Pathfast",,,,,,2015-08-19,,,
"eroare de calibrare(eroare 09-err)",,,,,,2015-08-19,,,
"valori eronate Urit 3diff",,,,,,2015-08-19,,,
"Defectiune QR reader",,,,,,2015-09-14,,,
"Curatare si verificare",,,,,,2015-09-24,,,
"Curatare si verificare",,,,,,2015-09-24,,,
"Defect nebulizator SR2",,,,,,2015-09-24,,,
"Curatare si verificare",,,,,,2015-09-24,,,
"Curatare si verificare",,,,,,2015-09-24,,,
"Curatare si verificare",,,,,,2015-09-24,,,
"Buton start defect",,,,,,2015-09-24,,,
"Verificare Nebulizator SR 2",,,,,,2015-09-24,,,
"Schimbare Sample Port",,,,,,2015-09-24,,,
Mentenanta,,,,,,2015-09-25,,,
"Instalare Pathfast",,,,,,2015-09-25,,,
"Calibrare analizor ",,,,,,2015-09-25,,,
"Curatare si verificare",,,,,,2015-10-05,,,
"Calibrare analizor ",,,,,,2015-10-05,,,
"ecran defect",,,,,,2015-10-05,,,
"eroare flow sensor",,,,,,2015-10-05,,,
"calibrare P-SEP",,,,,,2015-10-05,,,
"inlocuire sample port",,,,,,2015-10-05,,,
"Curatare si verificare",,,,,,2015-10-08,,,
"probleme electrocauter",,,,,,2015-10-09,,,
"Calibrare analizor Pathfast",,,,,,2015-10-13,,,
"pmt fitting error",,,,,,2015-10-13,,,
"lampa fotometru arsa",,,,,,2015-10-13,,,
"ecran LCD defect",,,,,,2015-10-13,,,
"Predare analizor Pathfast ",,,,,,2015-10-15,,,
"Calibrare analizor Pathfast",,,,,,2015-10-16,,,
"calibrare analizor Pathfast",,,,,,2015-10-21,,,
"Instalare Pathfast",,,,,,2015-10-21,,,
"Eroare imprimanta Pathfast",,,,,,2015-10-22,,,
"verificare functionare",,,,,,2015-10-22,,,
"revizie Pathfast",,,,,,2015-10-22,,,
"calibrare analizor Pathfast",,,,,,2015-10-22,,,
" eroare soft",,,,,,2015-10-22,,,
"functionare defectuoasa ecran",,,,,,2015-10-22,,,
"revizie Pathfast",,,,,,2015-10-22,,,
"calibrare NTproBNP",,,,,,2015-10-22,,,
"sesizare ecran defect",,,,,,2015-10-22,,,
"Revizie periodica",,,,,,2015-10-26,,,
"eroare T03",,,,,,2015-10-29,,,
"revizie Pathfast",,,,,,2015-10-29,,,
"revizie Pathfast",,,,,,2015-10-29,,,
"revizie Gastat",,,,,,2015-10-29,,,
"revizie Pathfast",,,,,,2015-10-29,,,
"revizie Pathfast",,,,,,2015-10-29,,,
"revizie Pathfast",,,,,,2015-10-29,,,
"URIT defect",,,,,,2015-10-29,,,
"aparat defect",,,,,,2015-10-29,,,
"zgomot modul extern",,,,,,2015-10-29,,,
"nebulizator defect ",,,,,,2015-10-29,,,
"verificare functionare Pathfast",,,,,,2015-10-29,,,
"verificare functionare Gastat",,,,,,2015-10-29,,,
"nebulizator defect ",,,,,,2015-10-29,,,
"revizie Pathfast",,,,,,2015-10-29,,,
"buton start blocat",,,,,,2015-10-29,,,
"preluare echipament",,,,,,2015-10-29,,,
"verificare Pathfast upu",,,,,,2015-10-30,,,
"AGITATOR RUPT",,,,,,2015-10-30,,,
"VERIFICARE PATHFAST",,,,,,2015-10-30,,,
"VERIFICARI SERVICE",,,,,,2015-10-30,,,
"VERIFICARE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"VERIFICARE PATHFAST",,,,,,2015-10-30,,,
"URIT SERVICE",,,,,,2015-10-30,,,
"URIT SERVICE",,,,,,2015-10-30,,,
"VERIFICARI SERVICE",,,,,,2015-10-30,,,
"URIT SERVICE",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"URIT SERVICE",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST + GASTAT ",,,,,,2015-10-30,,,
"SERVICE PATHFAST + GASTAT ",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE SPOTCHEM ",,,,,,2015-10-30,,,
"SERVICE GASTAT - INSTALARE",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE SPOTCHEM ",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE SPOTCHEM ",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE PATHFAST + GASTAT ",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"SERVICE GASTAT",,,,,,2015-10-30,,,
"Calibrare analizor Pathfast",,,,,,2015-10-30,,,
"Calibrare analizor Pathfast",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"VERIFICARE ELITE",,,,,,2015-10-30,,,
"VERIFICARE ELITE",,,,,,2015-10-30,,,
"VERIFICARE ELITE",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"VERIFICARE ELITE",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"RIDICARE PATHFAST",,,,,,2015-10-30,,,
"INSTALARE PATHFAST",,,,,,2015-10-30,,,
"SERVICE PATHFAST",,,,,,2015-10-30,,,
"Calibrare analizor Pathfast",,,,,,2015-11-03,,,
"Calibrare analizor Pathfast",,,,,,2015-11-03,,,
"Eroare senzor Pathfast",,,,,,2015-11-03,,,
"electrod Lac cu probleme",,,,,,2015-11-06,,,
"URIT SERVICE ",,,,,,2015-11-06,,,
"GASTA 603 - PORT INFUNDAT",,,,,,2015-11-06,,,
"SERVICE PATHFAST",,,,,,2015-11-06,,,
"VERIFICARE PATHFAST",,,,,,2015-11-06,,,
"capac blocat pathfast",,,,,,2015-11-09,,,
"verificare periodica electrocautere",,,,,,2015-11-09,,,
"ridicare analizor Pathfast ",,,,,,2015-11-11,,,
" preluare analizor pentru service",,,,,,2015-11-11,,,
"eroare citire senzori",,,,,,2015-11-11,,,
"preluare analizor",,,,,,2015-11-11,,,
"eroare citire senzori",,,,,,2015-11-11,,,
"sesizare ecran defect",,,,,,2015-11-11,,,
"Instalare analizor Pathfast",,,,,,2015-11-12,,,
"URIT SERVICE",,,,,,2015-11-16,,,
"SERVICE PATHFAST",,,,,,2015-11-16,,,
"VERIFICARI STERINIS",,,,,,2015-11-16,,,
"SERVICE VALLEYLAB",,,,,,2015-11-16,,,
"SERVICE VALLEYLAB",,,,,,2015-11-16,,,
"SERVICE PATHFAST",,,,,,2015-11-16,,,
"SERVICE STERINIS",,,,,,2015-11-16,,,
"Service Gastat 1830",,,,,,2015-11-16,,,
"Service Pathfast",,,,,,2015-11-16,,,
"Service Pathfast",,,,,,2015-11-16,,,
"STERNIS SR2",,,,,,2015-11-17,,,
"ECRAN DEFECT pathfast",,,,,,2015-11-18,,,
"SERVICE STERINIS",,,,,,2015-11-23,,,
"VERIFICARE CAREVENT",,,,,,2015-11-23,,,
"revizie Pathfast",,,,,,2015-11-24,,,
"revizie Pathfast",,,,,,2015-11-24,,,
"revizie Pathfast",,,,,,2015-11-24,,,
"revizie Pathfast",,,,,,2015-11-24,,,
"eroare 121",,,,,,2015-11-24,,,
"sesizare masurare defectuoasa ",,,,,,2015-11-24,,,
"SERVICE GASTAT navy",,,,,,2015-11-24,,,
"verificare periodica",,,,,,2015-11-24,,,
"verificare periodica Pathfast",,,,,,2015-11-24,,,
"verificare periodica Poket Chem",,,,,,2015-11-24,,,
"inlocuire display",,,,,,2015-11-24,,,
"instalare Pathfast ",,,,,,2015-11-24,,,
"Instalare Pathfast demo",,,,,,2015-11-24,,,
" Versatrek nu mai porneste",,,,,,2015-11-24,,,
"sesizare masurare defectuoasa",,,,,,2015-11-24,,,
"eroare M0101",,,,,,2015-11-26,,,
"probleme citire carduri GastatNavi",,,,,,2015-11-26,,,
"Instalare analizor Pathfast",,,,,,2015-12-08,,,
"Relocare analizor Pathfast",,,,,,2015-12-08,,,
"PIF Nebulizator Mobiwatch",,,,,,2015-12-08,,,
"PIF Nebulizator Mobiwatch",,,,,,2015-12-08,,,
"PIF Nebulizator Mobiwatch",,,,,,2015-12-08,,,
"PIF Nebulizator Mobiwatch",,,,,,2015-12-08,,,
"PIF Nebulizator Mobiwatch",,,,,,2015-12-08,,,
"Revizie periodica Pathfast",,,,,,2015-12-14,,,
"Revizie periodica URIT 8030",,,,,,2015-12-14,,,
"Revizie periodica Gastat Navi",,,,,,2015-12-14,,,
"Revizie periodica Gastat Navi",,,,,,2015-12-14,,,
"Revizie periodica  Gastat 1835",,,,,,2015-12-14,,,
"Revizie periodica Pathfast",,,,,,2015-12-14,,,
"Instalare analizor Pathfast",,,,,,2015-12-14,,,
"Instalare analizor Pathfast",,,,,,2015-12-14,,,
"VERIFICARE PATHFAST",,,,,,2015-12-18,,,
"SERVICE GASTAT",,,,,,2015-12-18,,,
"SERVICE GASTAT",,,,,,2015-12-18,,,
"SERVICE VALLEYLAB",,,,,,2015-12-18,,,
"SERVICE GASTAT",,,,,,2015-12-18,,,
"SERVICE PATHFAST",,,,,,2015-12-18,,,
"SERVICE SPOTCHEM ",,,,,,2015-12-18,,,
"SERVICE SPOTCHEM ",,,,,,2015-12-18,,,
"SERVICE VALLEYLAB",,,,,,2015-12-18,,,
"Instalare analizor Pathfast",,,,,,2015-12-22,,,
"Instalare analizor Pathfast",,,,,,2015-12-22,,,
"Revizie periodica Pathfast",,,,,,2015-12-22,,,
"curatare, reinstalare locatie noua ",,,,,,2016-01-04,,,
"Instalare Pathfast",,,,,,2016-01-04,,,
"service Spotchem",,,,,,2016-01-04,,,
Spotchem,,,,,,2016-01-04,,,
"SERVICE GASTAT",,,,,,2016-01-06,,,
"SERVICE GASTAT",,,,,,2016-01-06,,,
"SERVICE PATHFAST",,,,,,2016-01-06,,,
"SERVICE PATHFAST",,,,,,2016-01-06,,,
"SERVICE GASTAT",,,,,,2016-01-06,,,
"SERVICE PATHFAST",,,,,,2016-01-06,,,
"dezinstalat Pathfast",,,,,,2016-01-08,,,
"Calibrare analizor Pathfast",,,,,,2016-01-11,,,
"verificare Gastat Bisericani",,,,,,2016-01-12,,,
"Calibrare analizor Pathfast",,,,,,2016-01-12,,,
"Eroare linia 4 analizor Pathfast",,,,,,2016-01-12,,,
"Eroare M0101 analizor Pathfast",,,,,,2016-01-12,,,
"Eroare 121 Gastat Navi ",,,,,,2016-01-12,,,
"Revizie periodica Pathfast",,,,,,2016-01-12,,,
"Revizie periodica Pathfast",,,,,,2016-01-12,,,
"Calibrare analizor Pathfast ",,,,,,2016-01-12,,,
"Verificare Gastat 603ie",,,,,,2016-01-12,,,
"Gastat - 1830 eroare masurare Hb",,,,,,2016-01-12,,,
"Hemochron Elite - Defect",,,,,,2016-01-12,,,
"Ecran defect Pathfast",,,,,,2016-01-12,,,
"Gastat - 1835 erori calibrare ",,,,,,2016-01-12,,,
"URIT 8030",,,,,,2016-01-12,,,
"Pathfast  - Eroare citire card",,,,,,2016-01-12,,,
"Calibrare analizor Pathfast",,,,,,2016-01-12,,,
"Calibrare analizor Pathfast",,,,,,2016-01-12,,,
"Calibrare analizor Pathfast",,,,,,2016-01-12,,,
"Calibrare analizor Pathfast",,,,,,2016-01-15,,,
"predare Spotchem",,,,,,2016-01-20,,,
"SERVICE Pathfast",,,,,,2016-01-20,,,
"SERVICE Pathfast",,,,,,2016-01-20,,,
"SERVICE  Pathfast + Gastat",,,,,,2016-01-20,,,
"service Gastat navy",,,,,,2016-01-20,,,
"service valleylab",,,,,,2016-01-20,,,
"SERVICE Pathfast",,,,,,2016-01-20,,,
"service valleylab",,,,,,2016-01-20,,,
"predare Spotchem",,,,,,2016-01-20,,,
"Calibrare analizor Pathfast",,,,,,2016-01-21,,,
"Calibrare analizor Pathfast",,,,,,2016-01-25,,,
"Pathfast defect ",,,,,,2016-01-26,,,
"Calibrare analizor Pathfast",,,,,,2016-01-26,,,
"Revizie periodica Gastat 603ie ",,,,,,2016-01-26,,,
"Pathfast eroare M0106",,,,,,2016-01-26,,,
"Revizie periodica Pathfast",,,,,,2016-01-26,,,
"Revizie periodica Pathfast",,,,,,2016-01-26,,,
"Predare analizor Pathfast ",,,,,,2016-01-26,,,
"Revizie periodica Pathfast",,,,,,2016-01-26,,,
"Revizie periodica Pathfast",,,,,,2016-01-26,,,
"Instalare analizor Pathfast",,,,,,2016-02-01,,,
"reinstalare Versatre",,,,,,2016-02-01,,,
"Verificare Pathfast QC D-Dimer",,,,,,2016-02-01,,,
"verificare periodica Pathfast ",,,,,,2016-02-03,,,
"Revizie periodica Pathfast",,,,,,2016-02-04,,,
"Revizie periodica Pathfast",,,,,,2016-02-05,,,
"Gastat - 1830 eroare de calibrare al electrodului de Na",,,,,,2016-02-05,,,
"Revizie periodica Pathfast",,,,,,2016-02-05,,,
"Analizor hematologie URIT",,,,,,2016-02-08,,,
"PIF Pathfast",,,,,,2016-02-08,,,
"verificare periodica Pathfast",,,,,,2016-02-10,,,
"Nebulizator nu pulverizeaza",,,,,,2016-02-10,,,
"verificare periodica Pathfast",,,,,,2016-02-10,,,
"Verificare si remediere defecte analizor Pathfast ",,,,,,2016-02-11,,,
"Mentenanta periodica Pathfast",,,,,,2016-02-16,,,
"Service Urit 5200",,,,,,2016-02-16,,,
"Mentenanta periodica Pathfast",,,,,,2016-02-16,,,
"Mentenanta periodica Pathfast",,,,,,2016-02-16,,,
"Mentenanta periodica Pathfast + reinstruire personal",,,,,,2016-02-16,,,
"Mentenanta periodica Hemochrom Signature Elite",,,,,,2016-02-16,,,
"Eroare linia 3 Pathfast",,,,,,2016-02-16,,,
"Eroare Hemochrom Signature Elite",,,,,,2016-02-16,,,
"Eroare Hgb Urit 5200",,,,,,2016-02-16,,,
"Eroare Hgb Urit 5200",,,,,,2016-02-16,,,
"Calibrare analizor Pathfast",,,,,,2016-02-22,,,
"Calibrare analizor Pathfast",,,,,,2016-02-24,,,
"Calibrare analizor Pathfast",,,,,,2016-02-25,,,
"Preluare centrifuga Micro-One ",,,,,,2016-02-25,,,
"revizie pathfast cardio",,,,,,2016-02-26,,,
"verificare periodica Pathfast",,,,,,2016-02-26,,,
"constatre Biowind",,,,,,2016-02-26,,,
"probleme tastatura Urit",,,,,,2016-02-26,,,
"Depanare analizor biochimie URIT 8030",,,,,,2016-02-26,,,
"preluare Hemocron Signature",,,,,,2016-02-26,,,
"verificare periodica Pathfast",,,,,,2016-02-26,,,
"ecran tactil Pathfast nu mai functioneaza",,,,,,2016-02-26,,,
"curatare, verificare pentru relocare",,,,,,2016-02-26,,,
"relocare Pathfast",,,,,,2016-02-29,,,
"pmt fitting error",,,,,,2016-02-29,,,
"Eroare M0103 Axa Y , I00013 ",,,,,,2016-03-01,,,
"revizie pathfast",,,,,,2016-03-01,,,
"probleme operare Versatrek",,,,,,2016-03-02,,,
"verificari ELITE",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"neconcordante hgb hct rbc",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"mentenanță Pathfast",,,,,,2016-03-03,,,
"Mentenanta Pathfast ",,,,,,2016-03-03,,,
"service Nellcor",,,,,,2016-03-03,,,
"service Gastat navy",,,,,,2016-03-03,,,
"SERVICE  Pathfast + Gastat",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"instalare Pathfast",,,,,,2016-03-03,,,
"SERVICE  Gastat",,,,,,2016-03-03,,,
"instalare Pathfast",,,,,,2016-03-03,,,
"instalare Pathfast",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"SERVICE Pathfast",,,,,,2016-03-03,,,
"SERVICE  Pathfast + Gastat",,,,,,2016-03-03,,,
"service Gastat navy",,,,,,2016-03-03,,,
"SERVICE  Gastat",,,,,,2016-03-03,,,
"SERVICE  Gastat",,,,,,2016-03-03,,,
"Service Gastat 1830 ",,,,,,2016-03-04,,,
"Predare Spotchem",,,,,,2016-03-07,,,
"instalare, instruire Hemochron Elite",,,,,,2016-03-08,,,
"Instalare analizor Pathfast",,,,,,2016-03-10,,,
"test de test",,,,,,2016-03-10,,,
"SERVICE  Gastat",,,,,,2016-03-11,,,
"SERVICE  Gastat",,,,,,2016-03-11,,,
"service valleylab",,,,,,2016-03-11,,,
"Mentenanta periodica si calibrare analizor Pathfast",,,,,,2016-03-14,,,
"Mentenanta periodica si calibrare analizor Pathfast",,,,,,2016-03-14,,,
"Calibrare CK-MB",,,,,,2016-03-14,,,
"Eroare calibrare pO2 analizor Gastat Navi ",,,,,,2016-03-14,,,
"PIF si Instruire personal Pathfast",,,,,,2016-03-16,,,
"Eroare modul spalare analizor biochimie",,,,,,2016-03-16,,,
"Revizie periodica Pathfast",,,,,,2016-03-17,,,
"Mentenanta periodica Pathfast",,,,,,2016-03-18,,,
"Eroare calibrare D-dimer",,,,,,2016-03-18,,,
"URIT 3000 Plus - Defect",,,,,,2016-03-18,,,
"instalare sertare Versatrek",,,,,,2016-03-18,,,
"valori eronate Urit 3diff",,,,,,2016-03-18,,,
"service Spotchem",,,,,,2016-03-22,,,
"Eroare calibrare D-Dimer",,,,,,2016-03-23,,,
"Eroare calibrare Pathfast",,,,,,2016-03-23,,,
"Calibrabre Urit 5200",,,,,,2016-03-23,,,
"ecran tactil Pathfast nu mai functioneaza",,,,,,2016-03-28,,,
"Mentenanta Sterinis",,,,,,2016-03-30,,,
"Eroare PC VersaTrek",,,,,,2016-03-30,,,
"intretinere GASTAT ",,,,,,2016-03-30,,,
"INTRETINERE STERINIS SR42",,,,,,2016-03-30,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"revizie Pathfast",,,,,,2016-03-31,,,
"inlocuire tubulatura pompe",,,,,,2016-03-31,,,
"predare Gastat 603",,,,,,2016-03-31,,,
"PIF Pathfast Cardiologie",,,,,,2016-04-01,,,
"Eroare RBC bubble ",,,,,,2016-04-04,,,
"Cădere tensiune retea",,,,,,2016-04-04,,,
"Mentenanta periodica Pathfast",,,,,,2016-04-04,,,
"Mentenanta periodica Pathfast",,,,,,2016-04-04,,,
"revizie electrocautere",,,,,,2016-04-05,,,
"revizie electrocauter ",,,,,,2016-04-05,,,
" probleme sistem pulverizare UNIK",,,,,,2016-04-05,,,
"eroAre inchidere sertar VERSATREK",,,,,,2016-04-05,,,
"eroare baza date versatek cluj",,,,,,2016-04-05,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1 ",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pahtfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1 ",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1 ",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1 ",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campanie curatare Pathfast semestrul 1",,,,,,2016-04-06,,,
"Campania de primavara verificare Pathfast(BC)",,,,,,2016-04-06,,,
"Campania de primavara verificare Pathfast (BC)",,,,,,2016-04-06,,,
"Campanie verificare Pathfast Gerota",,,,,,2016-04-07,,,
"campanie verificare Pathfast Elias",,,,,,2016-04-07,,,
"Campanie curatare Pathfast semestrul 1 ",,,,,,2016-04-07,,,
"campanie verificare Pathfast-ATI Balotesti",,,,,,2016-04-07,,,
"eroare - linia 2",,,,,,2016-04-08,,,
"eroare ECRAN PTH - campanie curatare PTH -  SMURD MURES",,,,,,2016-04-08,,,
"campanie verificare PTH - CARDIO AB",,,,,,2016-04-08,,,
"campanie verificare PTH - UPU BAIA MARE",,,,,,2016-04-08,,,
"campanie verificare PTH - CARDIO CJ",,,,,,2016-04-08,,,
"campanie verificare PTH - GHERLA",,,,,,2016-04-08,,,
"campanie verificare PTH - SARMASU MURES",,,,,,2016-04-08,,,
"campanie verificare PTH - NEGRESTI OAS",,,,,,2016-04-08,,,
"probleme electrod Hb ATI Balotesti",,,,,,2016-04-11,,,
"Agitator si ac rupt URIT 8021",,,,,,2016-04-14,,,
"Eroare PMT Pathfast ",,,,,,2016-04-18,,,
"verificare periodica Sterinis",,,,,,2016-04-18,,,
"verificare periodica Poket Chem",,,,,,2016-04-18,,,
"verificare periodica Pathfast",,,,,,2016-04-18,,,
"verificare periodica Pathfast",,,,,,2016-04-18,,,
"eroare comunicare in retea Pathfast",,,,,,2016-04-18,,,
"Eroare functionare analizor Pathfast",,,,,,2016-04-19,,,
"bec lampa fotometrica ars",,,,,,2016-04-19,,,
"intretinere CARE VENT",,,,,,2016-04-21,,,
"Campania de primavara verificare Pathfast (radauti)",,,,,,2016-04-25,,,
"Gastat 1835 eroare electrod HB",,,,,,2016-04-25,,,
"Predare analizor Pathfast",,,,,,2016-04-26,,,
"intretinere Gastat 1835",,,,,,2016-04-28,,,
"intretinere Gastat 603",,,,,,2016-04-29,,,
"Calibrare analizor Pathfast ",,,,,,2016-05-05,,,
"predare Pathfast UPU Bagdasar",,,,,,2016-05-09,,,
"inlocuire tubulatura pompe Gastat 603 UPU Agrippa",,,,,,2016-05-09,,,
"calibrare D-Dimer, P-SEP  ATI 1 Floreasca ",,,,,,2016-05-09,,,
"eroare calibrare URIT 3000 UPU Agrippa ",,,,,,2016-05-09,,,
"revizie Pathfast UPU Targoviste",,,,,,2016-05-09,,,
"revizie Pathfast Cardio Targoviste ",,,,,,2016-05-09,,,
