Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Revizie periodica PATHFAST PV - 4507","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 4506","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 4332","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 4331","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 4336","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 5462","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 5461","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6012","Fara Factura",Cerere,"Spt.Jud de Urg. Sf.Pantelimon  Focsani - CUI: 4350505",Inchis,"Nivel Scazut",2020-11-25,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV -6169","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-11-25,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6311","Fara Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-11-25,,Pathfast,"Eduard Dimitrachi"
"Interventie Electrocauter PV - 6310","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-11-25,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 6211","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-11-25,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 6212","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-11-25,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 5715","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-11-25,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6152","Fara Factura",Revizie,"Spt.Jud de Urg. Sf.Pantelimon  Focsani - CUI: 4350505",Inchis,"Nivel Scazut",2020-11-26,,Pathfast,"Eduard Dimitrachi"
"Interventie valleylab force 2 PV - 6151","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-11-26,,,"Eduard Dimitrachi"
"Revizie PATHFAST PV - 6509","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-11-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6648","Fara Factura",Revizie,"Spitalul Judetean Suceava - CUI: 4243983",Inchis,"Nivel Scazut",2020-11-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6668","Fara Factura",Revizie,"Spitalul Judetean Suceava - CUI: 4243983",Inchis,"Nivel Scazut",2020-11-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6639","Fara Factura",Revizie,"Spitalul Judetean Suceava - CUI: 4243983",Inchis,"Nivel Scazut",2020-11-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6829","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-11-26,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie electrocauter - PV 6851","Fara Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-01-26,,,"Eduard Dimitrachi"
"Cerere interventie electrocauter - PV 7506","Cu Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-01-26,,,"Eduard Dimitrachi"
"Interventie Pathfast PV - 6852","Fara Factura",Revizie,"Instit. Boli Cardiovasculare Iasi - CUI: 8615184",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie Electrocauter - PV 6942","Cu Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-01-26,,,"Eduard Dimitrachi"
"Cerere interventie Pathfast - PV 6941","Cu Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 6710","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 6711","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 6709","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie Pathfast - PV 7162","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie Pathfast - PV 7419","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 7384","Fara Factura",Revizie,"Sp. Municipal Radauti - CUI: 4327367",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie MaxiBio - PV 7529","Fara Factura",Cerere,"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi - CUI: 4701312",Inchis,"Nivel Scazut",2021-01-26,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 7556","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 7557","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 7558","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 7161","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Versatrek PV - 8008","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-01-26,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 8009","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Hemochron PV - 4508","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-01-26,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 7965","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 7964","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 7966","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 8051","Fara Factura",Cerere,"Spitalul Judetean Suceava - CUI: 4243983",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 8052","Fara Factura",Revizie,"Sp. Municipal Radauti - CUI: 4327367",Inchis,"Nivel Scazut",2021-01-26,,Pathfast,"Eduard Dimitrachi"
"Upgrade cabluri PMT/BCR ","Cu Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Upgrade cabluri PMT/BCR","Fara Factura",Revizie,"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi - CUI: 4701312",Inchis,"Nivel Scazut",2021-03-22,,,"Eduard Dimitrachi"
"Cerere interventie Pathfast - PV 597","Fara Factura",Revizie,"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi - CUI: 4701312",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 8212","Fara Factura",Revizie,"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi - CUI: 4701312",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 575","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 574","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 573","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1010","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1011","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1012","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1454","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1456","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1455","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 1410","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie Pathfast - PV 1632","Fara Factura",Revizie,"Spt.Jud de Urg. Sf.Pantelimon  Focsani - CUI: 4350505",Inchis,"Nivel Scazut",2021-03-22,,Pathfast,"Eduard Dimitrachi"
"Upgrade cabluri PMT/BCR","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-05-05,,Pathfast,"Eduard Dimitrachi"
"Proces verbal de predare primire - PV 2391","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-05-05,,Pathfast,"Eduard Dimitrachi"
"Instalare/Punere in functiune/Instruire personal - PV 2396","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-05-05,,Pathfast,"Eduard Dimitrachi"
"Cerere revizie PATHFAST PV - 1903","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 2041","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 2042","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 2040","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Valleylab PV - 2128","Cu Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Revizie periodica Valleylab PV - 2129","Cu Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 2130","Cu Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Electrocautere Bacau PV - 1938","Cu Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Interventie Pathfast PV - 2323","Fara Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 2324","Fara Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Hemochrom PV - 2712","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Revizie periodica Versatrek PV - 2711","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 2710","Cu Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 2607","Fara Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Interventie Gastat PV - 2948","Cu Garantie",Revizie,"Spital Orasenesc Gura Humorului - CUI: 5347770",Inchis,"Nivel Scazut",2021-07-27,,,"Eduard Dimitrachi"
"Interventie Pathfast PV - 3113","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 3154","Fara Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast PV - 3321","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 3465","Fara Factura",Revizie,"Spital Orasenesc Gura Humorului - CUI: 5347770",Inchis,"Nivel Scazut",2021-07-27,,Pathfast,"Eduard Dimitrachi"
