Subiect,"Status Intalnire","Data Incepere",Organizatie,"Scopul Vizitei","Atribuit Lui"
"vizita programata dir med",,2023-09-28,,"info prezentare Unyvero",
"vizita programata manager",,2023-09-28,,"stabilire detalii prezentare Unyvero",
"prezentare Unyvero",,2023-09-27,,"info prezentare Unyvero",
"prezentare Unyvero",,2023-09-27,,"info prezentare Unyvero",
"prezentare Unyvero",,2023-09-27,,"info prezentare Unyvero",
"prezentare Unyvero",,2023-09-27,,"info prezentare Unyero",
"prezentare Unyvero",,2023-09-27,,"info prezentare Unyvero",
"info teste PTH cardio",,2023-09-27,,"verificare stocuri teste, referat",
"verif PTH cardio",,2023-09-27,,"verif PTH cardio",
"verif PTH UPU",,2023-09-27,,"verif PTH UPU",
"prezentare Unyvero",,2023-09-26,,"planificare vizita dir med",
"prezentare Unyvero",,2023-09-26,,"planificare vizita dr",
"prezentare Unyvero",,2023-09-26,,"info prezentare Unyvero",
"prezentare Unyvero",,2023-09-26,,"informare prezentare Unyvero",
"prezentare Unyvero",,2023-09-26,,"vizita manager
S.L. Dr. Andreea Adina Turcu",
"prezentare Unyvero",,2023-09-25,,"informare prezentare Unyvero",
"prezentare Unyvero",,2023-09-25,,"re-stabilire data prezentare",
"prezentare Unyvero",,2023-09-21,,"informare prezentare Unyvero",
"prezentare Unyvero",,2023-09-21,,"informare prezentare Unyvero",
"prezentare Unyvero",,2023-09-20,,"re-stabilire data prezentare",
"verif PTH cardio",,2023-09-20,,"verif PTH",
"verif PTH UPU",,2023-09-20,,"verif PTH",
"prezentare Unyvero",,2023-09-20,,"re-stabilire data prezentare",
"prezentare Unyvero",,2023-09-19,,"re-stabilire data prezentare",
"prezentare Unyvero",,2023-09-19,,"re-stabilire data prezentare",
"prezentare Unyvero",,2023-09-19,,"re-stabilire data: 17.10",
"vizita achizitii",,2023-09-18,,"verif referat UPU",
"verif PTH cardio",,2023-09-18,,"verif PTH",
"verif PTH UPU",,2023-09-18,,"verif PTH",
"vizita conducere",,2023-09-14,,"promov GNavi ca inlocuitor pentru epoc existent in ATI",
"vizita conducere",,2023-09-14,,"info Icon 3 dir med",
"verificare PTH CPU",,2023-09-14,,"verif PTH",
"verif PTH cardio",,2023-09-13,,"verif PTH",
"verif PTH UPU",,2023-09-13,,"verif PTH",
"prezentare Unyvero",,2023-09-12,,"diseminare info ref la prezentare",
"prezentare Unyvero",,2023-09-12,,"planificare detalii, locatie, nr de pers",
"prezentare Unyvero",,2023-09-12,,"discutat detalii prezentare: locatie, nr de participanti",
"evaluare teste PCT PTH UPU - cardio",,2023-09-11,,"obtinere info cazuri sepsis",
"verif PTH cardio",,2023-09-11,,"verif PTH cardio",
"evaluare teste PCT PTH UPU",,2023-09-11,,"evaluare teste",
"verif PTH cardio",,2023-09-11,,"verif PTH cardio",
"verif PTH UPU",,2023-09-11,,"verif PTH UPU",
"verificare PTH CPU",,2023-09-06,,"verif PTH",
"propunere prezentare PTH",,2023-09-05,,"promov PTH CPU",
"data prezentare Unyvero",,2023-09-04,,"comunicare data prezentare 05.10",
"data prezentare Unyvero",,2023-09-04,,"comunicare data prezentare 05.10",
"verif PTH cardio",,2023-09-01,,"verif PTH",
"verif PTH UPU",,2023-09-01,,"verif PTH",
"verif PTH UPU",,2023-09-01,,"verif PTH",
"data prezentare Unyvero",,2023-08-31,,"comunicare data prezentare 4.10",
"data prezentare Unyvero",,2023-08-31,,"comunicare data prezentare 4.10",
"data prezentare Unyvero",,2023-08-31,,"comunicare data prezentare 4.10",
"data prezentare Unyvero",,2023-08-30,,"comunicare data prezentare 4.10",
"data prezentare Unyvero",,2023-08-30,,"comunicare data prezentare 4.10",
"data prezentare Unyvero",,2023-08-30,,"comunicare data prezentare 4.10",
"data prezentare Unyvero",,2023-08-30,,"comunicare data prezentare 4.10",
"verif referat",,2023-08-29,,"verif referat achizitii teste PTH UPU",
"verif teste PTH UPU",,2023-08-29,,"verif stocuri teste PTH",
"verif PTH UPU",,2023-08-29,,"verif PTH",
"verificare PTH CPU",,2023-08-28,,"verif PTH",
"verif PTH cardio",,2023-08-24,,"verif PTH",
"verif PTH UPU",,2023-08-24,,"verif PTH",
"verif stocuri teste",,2023-08-23,,"verif stocuri teste PTH",
"verif PTH UPU",,2023-08-23,,"verif PTH",
"data prezentare Unyvero",,2023-08-22,,"update data prezentare",
"data prezentare Unyvero",,2023-08-22,,"update data prezentare",
"data prezentare Unyvero",,2023-08-22,,"update data prezentare",
"info Icon 3",,2023-08-21,,"info Icon 3",
"verificare PTH CPU",,2023-08-21,,"verif PTH CPU",
"teste PCT PTH UPU - ATI",,2023-08-08,,"info teste PCT UPU",
"teste PCT PTH UPU - cardio",,2023-08-08,,"info teste PCT in UPU",
"evaluare teste PCT PTH UPU",,2023-08-08,,"info teste PCT",
"prezentare Unyvero",,2023-08-04,,"propunere participare prezentare",
"prezentare Unyvero",,2023-08-04,,"propunere participare prezentare",
"prezentare Unyvero",,2023-08-04,,"propunere participare prezentare",
"evaluare teste PCT PTH UPU",,2023-08-03,,"am instiintat cu privire la livrarea testelor PCT, am mentionat ca voi reveni pentru feedback",
"teste PCT PTH UPU",,2023-08-03,,"confirmare livrare teste, semnare PV",
"prezentare Unyvero",,2023-08-02,,"propunere prezentare Unyvero",
"prezentare Unyvero",,2023-08-02,,"propunere prezentare Unyvero",
"verif PTH cardio",,2023-08-02,,"verif PTH",
"teste PCT PTH UPU",,2023-08-02,,"evaluare teste PCT PTH UPU",
"verif PTH UPU",,2023-08-02,,"verif PTH",
"prezentare Unyvero",,2023-08-01,,"propunere participare prezentare Unyvero",
"prezentare Unyvero",,2023-08-01,,"propunere participare prezentare Unyvero",
"prezentare Unyvero",,2023-08-01,,"propunere participare prezentare Unyvero",
"verificare PTH CPU",,2023-07-31,,"verif PTH CPU",
"promov Unyvero",,2023-07-28,,"promov Unyvero",
"promov Unyvero",,2023-07-28,,"promov Unyvero",
"promov Unyvero",,2023-07-27,,"promov Unyvero",
"promov Unyvero",,2023-07-27,,"promov Unyvero",
"verif PTH cardio",,2023-07-26,,"verif PTH",
"verif PTH UPU",,2023-07-26,,"verif PTH UPU",
"promov PTH hsctni",,2023-07-25,,"promov markeri PTH",
"verificare PTH CPU",,2023-07-25,,"verif PTH CPU",
"promov Unyvero",,2023-07-24,,"promov Unyvero",
"promov Unyvero",,2023-07-24,,"promov Unyvero",
"VCM CPU Filantropia",,2023-07-24,,"amintire VCM CPU",
"promov PTH, Icon3 CPU Filantropia",,2023-07-24,,"promov PTH, NRM CPU",
"sales pitch",,2023-07-20,,"sales pitch, verificare ref UPU",
"verif PTH UPU",,2023-07-20,,"verif PTH",
"vizita conducere",,2023-07-18,,"meet up noua conducere",
"verificare PTH CPU",,2023-07-18,,"verificare PTH + teste",
"promov teste sepsis PTH ATI",,2023-07-17,,"promov teste sepsis PTH ATI",
"verif PTH UPU",,2023-07-17,,"verif PTH UPU + utilitate teste sepsis UPU",
"verif PTH UPU",,2023-07-17,,"verificare PTH UPU",
"interventie PTH CPU Caracal",,2023-07-14,,"verificare si remediere problema PTH CPU Caracal",
"sedinta STG Bucuresti",,2023-07-12,,"sedinta trimestriala STG Bucuresti",
"verif PTH cardio",,2023-07-04,,"verif PTH + teste",
"vizita cardio",,2023-07-04,,"sales pitch, verificare PTH, obtinere info cazuri sepsis cardio",
"vizita UPU",,2023-07-04,,"verificare PTH",
"sales pitch PTH CPU",,2023-06-30,,"discutie cu sefa sectie PTH, Icon 3",
"verificare PTH CPU",,2023-06-30,,"verif PTH + teste CPU",
"vizita lab",,2023-06-29,,"promov hs cTnI PTH",
"vizita achizitii",,2023-06-29,,"verificare referat teste PTH",
"verif teste PTH UPU",,2023-06-29,,"verif teste",
"verif PTH UPU",,2023-06-29,,"verificare PTH + lot teste UPU",
"vizita achizitii",,2023-06-28,,"verif referat reactivi PTH UPU",
"promov NRM Icon 3",,2023-06-28,,"promov Icon 3",
"verif PTH UPU",,2023-06-28,,"verificare PTH + teste",
"verificare PTH CPU",,2023-06-27,,"verificare PTH + teste",
"verif PTH cardio",,2023-06-27,,"verif PTH + teste cardio",
"verif PTH UPU",,2023-06-27,,"verif PTH + teste UPU",
"promov PTH CPU Filantropia",,2023-06-26,,"promov PTH CPU Filantropia",
"feedback VCM",,2023-06-26,,"feedback prezentare VCM",
"VCM Infectioase V Babes Craiova",,2023-06-22,,"promov Unyvero",
"VCM Babes",,2023-06-22,,"feedback VCM",
"VCM ATI",,2023-06-20,,"promov test VCM",
"verif PTH cardio",,2023-06-20,,"verificare PTH cardio",
"verif PTH UPU",,2023-06-20,,"verificare PTH UPU",
"VCM SJUDTS manager",,2023-06-15,,"promov VCM manager SJUDTS",
"promov VCM Filantropia CPU",,2023-06-08,,"promov test VCM",
"prezentare VCM V Babes",,2023-06-08,,"prezentare si demo VCM Infectioase",
"prezentare VCM SJUDTS ATI",,2023-06-15,,"prezentare si hands on VCM SJUDTS ATI",
"prezentare VCM Filantropia ATI",,2023-06-08,,"prezentare si demo VCM",
"VCM Infectioase V Babes Craiova",,2023-05-31,,"Vizita dr Dumitrescu",
"VCM ATI Filantropia",,2023-05-31,,"detalii organizatorice prezentare VCM Filantropia ATI",
"verificare PTH CPU",,2023-05-30,,"verificare PTH",
"reminder plati",,2023-05-30,,"reminder plati",
"verif PTH cardio",,2023-05-30,,"verificare PTH",
"verif PTH UPU",,2023-05-30,,"verificare PTH si reactivi",
"VCM Infectioase V Babes Craiova",,2023-05-29,,"detalii organizatorice prezentare",
"VCM Filantropia ATI",,2023-05-29,,"prezentare test VCM",
"VCM Filantropia CPU",,2023-05-29,,"prezentare test VCM",
"VCM SJUDTS NN",,2023-05-26,,"prezentare test VCM",
"verificare PTH livrare custodie",,2023-05-26,,"verificare PTH livrare custodie",
"VCM SJUDTS UPU",,2023-05-26,,"prezentare test VCM",
"VCM SJUDTS UPU",,2023-05-26,,"prezentare test vcm",
"VCM SJUDTS ATI",,2023-05-26,,"vizita ATI prezentare test",
"VCM SJUDTS ATI",,2023-05-26,,"vizita ATI prezentare test VCM",
"VCM Infectioase V Babes Craiova",,2023-05-25,,"prezentare test VCM",
"VCM Infectioase V Babes Craiova",,2023-05-25,,"confirmare acord pentru prezentare",
"referat Icon 3 CPU Caracal sef sectie",,2023-05-25,,"referat Icon 3 CPU",
"referat Icon 3 CPU Caracal as sef",,2023-05-25,,"referat Icon 3 CPU",
"VCM V Babes Craiova",,2023-05-24,,"prezentare test, propunere prezentare pe sectie",
"VCM Infectioase V Babes Craiova",,2023-05-24,,"prezentare test",
"VCM ATI V Babes Craiova",,2023-05-24,,"prezentare test VCM",
"VCM Filantropia NN",,2023-05-24,,"prezentare test",
"VCM ATI Filantropia Dr Gliga",,2023-05-24,,"prezentare test",
"VCM ATI Filantropia",,2023-05-24,,"prezentare test",
"VCM as sef ATI Fil",,2023-05-24,,"prezentare VCM",
"vizită regulată",,2023-05-23,,"vizita ATI",
"vizită regulată",,2023-05-23,,"vizita lab",
"vizită regulată",,2023-05-23,,"vizita UPU",
"vizită regulată",,2023-05-22,,"vizita cardio",
"vizită regulată",,2023-05-22,,"vizita UPU",
"vizită regulată",,2023-05-22,,"vizita CPU",
SRATI,,2023-05-10,,"participare SRATI 10-14.05",
"vizită regulată",,2023-05-09,,"vizita ATI",
"vizită regulată",,2023-05-09,,"vizita ATI",
"vizită regulată",,2023-05-08,,"vizita cardio",
"vizită regulată",,2023-05-08,,"vizita UPU",
"vizită regulată",,2023-05-05,,"SCJU Craiova",
"vizită regulată",,2023-05-04,,"SCJU Craiova",
"vizită regulată",,2023-05-03,,"SCJU Craiova",
"vizită regulată",,2023-05-02,,"vizita TI NN",
"vizită regulată",,2023-05-02,,"vizita UPU",
"vizită regulată",,2023-05-02,,"vizita ATI",
"vizită regulată",,2023-04-28,,"vizita UPU",
"vizită regulată",,2023-04-28,,"vizita ATI",
"vizită regulată",,2023-04-28,,"vizita ATI",
"vizită regulată",,2023-04-28,,"vizita NN",
"vizită regulată",,2023-04-27,,"Spitalul Clinic Municipal Filantropia Craiova
vizita NN",
"vizită regulată",,2023-04-27,,"Spitalul Clinic Municipal Filantropia Craiova
vizita ATI",
"vizită regulată",,2023-04-27,,"Spitalul Clinic Municipal Filantropia Craiova
vizita ATI",
"vizită regulată",,2023-04-27,,"Spitalul Clinic Municipal Filantropia Craiova
vizita ATI",
"vizită regulată",,2023-04-27,,"Spitalul Clinic de BI si PNF V Babes Craiova 
vizita ATI",
"vizită regulată",,2023-04-26,,"vizita UPU",
"vizită regulată",,2023-04-26,,"vizita achizitii",
"vizită regulată",,2023-04-26,,"vizita NN",
"vizită regulată",,2023-04-26,,"vizita ATI",
"vizită regulată",,2023-04-25,,"restaurant Olive Craiova, in legatura cu organizarea cursului",
"vizită regulată",,2023-04-25,,"restaurant Mythos Craiova, in legatura cu organizarea cursului",
"vizită regulată",,2023-04-25,,"SCJU Craiova",
"vizită regulată",,2023-04-24,,"vizita conducere",
"vizită regulată",,2023-04-24,,"vizita CPU",
"vizită regulată",,2023-04-24,,"vizita CPU",
"vizită regulată",,2023-04-24,,"vizita achizitii",
"vizită regulată",,2023-04-24,,"vizita cardio",
"vizită regulată",,2023-04-24,,"vizita cardio",
"vizită regulată",,2023-04-24,,"vizita UPU",
"vizită regulată",,2023-04-24,,"vizita UPU",
"vizită regulată",,2023-04-21,,"vizita ATI",
"vizită regulată",,2023-04-21,,"vizita NN",
"vizită regulată",,2023-04-21,,"vizita NN",
"vizită regulată",,2023-04-20,,"vizita NN",
"vizită regulată",,2023-04-20,,"vizita ATI",
"vizită regulată",,2023-04-20,,"vizita cardio",
"vizită regulată",,2023-04-20,,"vizita UPU",
"vizită regulată",,2023-04-19,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-04-13,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-04-13,,"Spitalul Clinic de BI si PNF V Babes Craiova",
"vizită regulată",,2023-04-13,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-04-13,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-04-12,,"vizita UPU",
"vizită regulată",,2023-04-11,,"vizita ATI",
"vizită regulată",,2023-04-11,,"vizita UPU",
"vizită regulată",,2023-04-10,,"vizita CPU",
"vizită regulată",,2023-04-10,,"vizita cardio",
"vizită regulată",,2023-04-10,,"vizita UPU",
"vizită regulată",,2023-04-06,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-04-05,,"vizita UPU",
"vizită regulată",,2023-04-04,,"vizita UPU",
"vizită regulată",,2023-04-03,,"vizita CPU",
"vizită regulată",,2023-04-03,,"vizita cardio",
"vizită regulată",,2023-04-03,,"vizita UPU",
"vizită regulată",,2023-03-30,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-03-30,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-03-29,,"vizita UPU",
"vizită regulată",,2023-03-29,,"vizita conta",
"vizită regulată",,2023-03-28,,"vizita UPU",
"vizită regulată",,2023-04-27,,"vizita CPU",
"vizită regulată",,2023-03-27,,"vizita conta",
"vizită regulată",,2023-04-27,,"vizita UPU",
"vizită regulată",,2023-03-27,,"vizita conta",
"vizită regulată",,2023-03-24,,"Spitalul Clinic Muncipal Filantropia Craiova",
"vizită regulată",,2023-03-23,,"vizita ATI",
"vizită regulată",,2023-03-23,,"vizita UPU",
"vizită regulată",,2023-03-22,,"Spitalul Clinic Municipal Filantropia Craiova",
"vizită regulată",,2023-03-22,,"vizita cardio",
"vizită regulată",,2023-03-22,,"vizita UPU verif PTH",
"vizită regulată",,2023-03-21,,"Lorepal laborator de analize medicale Craiova
Promov PTH",
"vizită regulată",,2023-03-21,,"Lorepal laborator de analize Craiova
promov NRM",
"vizită regulată",,2023-03-21,,"CardioMed Craiova
promov PTH NRM TMC",
"vizită regulată",,2023-03-20,,"vizita ATI",
"vizită regulată",,2023-03-20,,"vizita cardio",
"vizită regulată",,2023-03-20,,"vizita cardio",
"vizită regulată",,2023-03-20,,"vizita UPU",
"vizită regulată",,2023-03-20,,"vizita CPU",
"vizită regulată",,2023-03-17,,"Spitalul Clinic Municipal Neuropsihiatrie Craiova
vizita achizitii",
"vizită regulată",,2023-03-17,,"Spitalul Clinic Municipal Neuropsihiatrie Craiova
vizita lab",
"vizită regulată",,2023-03-09,,"vizita cardio",
"vizită regulată",,2023-03-09,,"vizita UPU",
"vizită regulată",,2023-03-16,,"vizita ATI",
"vizită regulată",,2023-03-16,,"reminder plati",
"vizită regulată",,2023-03-16,,"vizita UPU",
"vizită regulată",,2023-03-16,,"vizita cardio",
"vizită regulată",,2023-03-16,,"vizita UPU",
"vizită regulată",,2023-03-15,,"vizita cardio",
"vizită regulată",,2023-03-15,,"vizita UPU",
"vizită regulată",,2023-03-14,,"vizita UPU",
"vizită regulată",,2023-03-14,,"vizita UPU",
"vizită regulată",,2023-03-14,,"vizita UPU",
"vizită regulată",,2023-03-14,,"vizita UPU",
"vizită regulată",,2023-03-13,,"vizita cardio",
"vizită regulată",,2023-03-13,,"vizita UPU",
"vizită regulată",,2023-03-13,,"vizita SPIAAM",
"vizită regulată",,2023-03-09,,"reminder plati",
"vizită regulată",,2023-03-09,,"vizita CPU",
"vizită regulată",,2023-03-08,,"Spitalul Militar de Urgenta Dr Stefan Odobleja Craiova
vizita achizitii",
"vizită regulată",,2023-03-08,,"Spitalul Militar de Urgenta Dr Stefan Odobleja Craiova
vizita SPIAAM",
"vizită regulată",,2023-03-07,,"vizita ATI Tudor",
"vizită regulată",,2023-03-07,,"vizita UPU",
"vizită regulată",,2023-03-07,,"Spitalul Municipal Motru
vizita CPU",
"vizită regulată",,2023-03-06,,"vizita ATI",
"vizită regulată",,2023-03-06,,"vizita UPU",
"vizită regulată",,2023-03-03,,"Spitalul Clinic Municipal Filantropia Craiova
CPU",
"vizită regulată",,2023-03-02,,"Spitalul Militar de Urgenta Dr Stefan Odobleja Craiova
vizita achizitii",
"vizită regulată",,2023-03-01,,"vizita manager",
"vizită regulată",,2023-03-01,,"vizita UPU",
"vizită regulată",,2023-02-28,,"verificare PTH CPU, cu Cosmin",
"vizită regulată",,2023-02-28,,"Spitalul Orasenesc Turceni
vizita manager",
"vizită regulată",,2023-02-28,,"Spitalul Orasenesc Turceni
vizita epid, promovare AMY",
"vizită regulată",,2023-02-28,,"Spitalul Orasenesc Turceni
vizita ATI",
"vizită regulată",,2023-02-28,,"Spitalul Orasenesc Turceni
vizita CPU",
"vizită regulată",,2023-02-28,,"vizita achizitii",
"vizită regulată",,2023-02-28,,"vizita UPU",
"vizită regulată",,2023-02-27,,"Spitalul Militar de Urgenta Dr Stefan Odobleja Craiova
vizita SPIAAM prezentare AMY",
"vizită regulată",,2023-02-27,,"Spitalul Clinic Municipal Filantropia
vizita neonato",
"vizită regulată",,2023-02-24,,"Spitalul Clinic Cai Ferate Craiova
lab",
"vizită regulată",,2023-02-24,,"Spitalul Clinic Cai Ferate Craiova
ATI",
"vizită regulată",,2023-02-23,,"vizita achizitii",
"vizită regulată",,2023-02-23,,"vizita ATI Tudor Vladimirescu",
"vizită regulată",,2023-02-23,,"vizita UPU",
"vizită regulată",,2023-02-21,,"verificare inregistrare factura de plata",
"vizită regulată",,2023-02-21,,"verificare PTH CPU",
"vizită regulată",,2023-02-21,,"vizita PTH cardio",
"vizită regulată",,2023-02-21,,"verficare PTH UPU",
"vizită regulată",,2023-02-20,,"vizita manager",
"vizită regulată",,2023-02-20,,dezinfectanti,
"vizită regulată",,2023-02-20,,"info TINN PNRR",
"vizită regulată",,2023-02-20,,"verificare PTH UPU",
"vizită regulată",,2023-02-20,,"Fresenius NephroCare DTS
dezinfectanti",
"vizită regulată",,2023-02-20,,"Fresenius NephroCare DTS
promovare ventilatoare, Gastat, PTH",
"vizită regulată",,2023-02-20,,"Spitalul General Cai Ferate DTS
vizita achizitii AMY",
"vizită regulată",,2023-02-20,,"Spitalul Clinic General Cai Ferate DTS
promovare G Pro interne, camera de garda",
"vizită regulată",,2023-02-20,,"Spitalul General Cai Ferate Drobeta Turnu Severin
promovare Unyvero",
"vizită regulată",,2023-02-20,,"Spitalul General Cai Ferate Drobeta Turnu Severin
vizita lab",
"vizită regulată",,2023-02-16,,"Clinica TopMed BunaVestire Craiova
promovare PTH, NRM, AMY,",
"vizită regulată",,2023-02-17,,"verificare PTH cardio",
"vizită regulată",,2023-02-17,,"propunere mutare PTH lab",
"vizită regulată",,2023-02-17,,"Clinica Lisimed Slatina
promovare PTH, AMY",
"vizită regulată",,2023-02-15,,"verificare PTH cardio",
"vizită regulată",,2023-02-15,,"vizita ATI reminder presepsina PTH",
"vizită regulată",,2023-02-15,,"verificare PTH UPU",
"vizită regulată",,2023-02-14,,"propunere mutare PTH lab",
"vizită regulată",,2023-02-14,,"propunere mutare PTH in lab",
"vizită regulată",,2023-02-14,,"promovare PTH lab",
"vizită regulată",,2023-02-14,,"Icon 3",
"vizită regulată",,2023-02-14,,"verificare PTH CPU",
"vizită regulată",,2023-02-14,,"plata facturi restante",
"vizită regulată",,2023-02-13,,"follow up GPro neonato",
"vizită regulată",,2023-02-13,,"ATI follow up prezentare Gastat propus pentru inlocuire gaz existent",
"vizită regulată",,2023-02-09,,"info trombelastograf ATI",
"vizită regulată",,2023-02-09,,"verificare PTH UPU, propunere aducere Icon 3 UPU pediatrie",
"vizită regulată",,2023-02-08,,"Spitalul Clinic Municipal Filantropia Craiova
prezentare GPro, Dehas",
"vizită regulată",,2023-02-08,,"CardioMed Craiova
promovare PTH",
"vizită regulată",,2023-02-08,,"CardioMed Craiova 
prezentare Unyvero, Icon 3, 5",
"vizită regulată",,2023-02-07,,"vizita ATI
promovare psep, pct PTH",
"vizită regulată",,2023-02-07,,"vizita ATI
prezentare Unyvero, follow up prezentare 2022
prezentare T75",
"vizită regulată",,,,"verificare PTH cardio",
"vizită regulată",,,,"verificare PTH",
"vizită regulată",,2023-02-07,,"discutat oferta Icon 3 achizitii",
"vizită regulată",,2023-02-07,,"discutat oferta Icon 3 achizitii",
"vizită regulată",,2023-02-07,,"info licitatie hematologie",
"vizită regulată",,2023-02-07,,"verificat reactivi PTH",
"vizită regulată",,,,"Spitalul Clinic de Boli Infecțioase și Pneumoftiziologie Victor Babeș Craiova
ATI
achiziții",
"vizită regulată",,2023-01-31,,"Spitalul Filișanilor
programare vizită CPU - 02.02
meet up noua șefă cardio",
"vizită regulată",,2023-02-01,,"Spitalul Clinic Municipal Filantropia Craiova:
CPU
cardio",
"vizită regulată",,,,"ATI 1
UPU
achiziții
management",
